sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,Agreement,Q0,Q1,Q1a,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_5_other,firstQ4,Q4a1,firstQ3,firstQ3a,secondQ4,Q4a,Q5,CBC_Random1,CBC_Random3,CBC_Random4,CBC_Random5,CBC_Random6,CBC_Random2,WTP,Q12,Q12_8_other,Q13toQ16_r1,Q13toQ16_r2,Q13toQ16_r3,Q13toQ16_r4,Q17,Q17_4_other,Q18,Q18_5_other,Q991,Q992,Q993,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_9_other,secondQ3,secondQ3a,Q20toQ34_r1,Q20toQ34_r2,Q20toQ34_r3,Q20toQ34_r4,Q20toQ34_r5,Q20toQ34_r6,Q20toQ34_r7,Q20toQ34_r8,Q20toQ34_r9,Q20toQ34_r10,Q20toQ34_r11,Q20toQ34_r12,Q20toQ34_r13,Q20toQ34_r14,Q20toQ34_r15,Q37,Documentaries,Optimism,Q41_1,Q42_1,Q43_1,Q45_1,Q46_1,Prefernottosay_1,Q47,Q48,Q49,Q50,Q50_6_other,Q51,Q51_9_other,Q52,Q53,Comments,sys_CBCVersion_CBC,sys_CBCDesignID_CBC,sys_block_set_1,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17,sys_pagetime_18,sys_pagetime_19,sys_pagetime_20,sys_pagetime_21,sys_pagetime_22,sys_pagetime_23,sys_pagetime_24,sys_pagetime_25,sys_pagetime_26,sys_pagetime_27,sys_pagetime_28,sys_pagetime_29,sys_pagetime_30,sys_pagetime_31,sys_pagetime_32,sys_pagetime_33,sys_pagetime_34,sys_pagetime_35,sys_pagetime_36,sys_pagetime_37,sys_pagetime_38,sys_pagetime_39,sys_pagetime_40,sys_pagetime_41,sys_pagetime_42,sys_pagetime_43,sys_pagetime_44,sys_pagetime_45,sys_pagetime_46,sys_pagetime_47
1,17 Dec 2021 - 18:13:47 CET,17 Dec 2021 - 18:17:40 CET,0h 3m 53s,0h 3m 51s,1639761227,1639761460,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,106.69.235.111,1280,,1,1,2,,1,0,0,0,0,0,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,3,1,3,1,2,4,5,3,1,1,1,4,1,1,4,2,1,47,60,50,63,72,0,69,1,4,2,,9,retired,10,10,,,,"1,2",18,8,4,,8,6,,,,,,3,,,,,,,,,,,,,,,,,,18,5,56,9,5,7,9,6,9,16,7,6,3,4,4,22,12,4
2,17 Dec 2021 - 20:04:07 CET,17 Dec 2021 - 20:04:07 CET,0h 0m 0s,0h 0m 0s,1639767847,1639767847,1,4,,TERMINATEEARLY,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,124.171.159.204,1920,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17 Dec 2021 - 20:52:53 CET,17 Dec 2021 - 20:55:30 CET,0h 2m 37s,0h 2m 37s,1639770773,1639770930,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,60.242.242.96,1920,,1,1,1,7,0,0,0,0,0,1,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,4,1,5,5,5,1,1,5,4,1,1,1,2,4,2,3,5,2,95,0,59,1,6,4,,1,,10,10,,,,"1,2",36,10,7,6,7,5,,,,,,3,,,,,,,,,,,,,,,,,,3,,37,11,3,3,4,5,3,8,6,6,3,5,4,4,11,3
4,17 Dec 2021 - 22:11:58 CET,17 Dec 2021 - 22:15:31 CET,0h 3m 33s,0h 3m 32s,1639775518,1639775731,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.57",Windows 10.0,Edg 96.0.1054.57,2001:8003:e550:1501:e551:a7de:19cc:6d5e,1280,,1,1,2,,0,1,1,0,0,0,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,3,2,4,4,3,5,4,4,4,2,2,2,5,3,2,3,2,2,4,64,54,86,57,0,66,1,4,2,,7,,10,10,,,,"1,2",12,5,7,,8,4,,,,,,14,,,,,,,,,,,,,,,,,,12,4,46,12,5,6,11,6,11,12,9,6,3,5,4,8,10,4
5,17 Dec 2021 - 23:36:08 CET,17 Dec 2021 - 23:49:40 CET,0h 13m 32s,0h 13m 31s,1639780568,1639781380,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,175.32.172.106,1920,,1,1,1,1,0,0,0,0,0,1,,2,,4,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,2,3,51,50,53,53,50,0,62,2,3,3,,10,,10,10,,,,"2,1",12,5,4,7,7,4,,6,566,,,4,,,,,,,,,,,,,,,,,,,,117,9,4,4,5,4,3,7,3,7,5,6,6,14,11,3
6,17 Dec 2021 - 23:54:59 CET,17 Dec 2021 - 23:58:36 CET,0h 3m 37s,0h 3m 35s,1639781699,1639781916,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 9; VFD 630) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.92 Mobile Safari/537.36",Android 9,Chrome 96.0.4664.92,120.21.106.205,339,,1,2,2,,0,0,0,0,0,1,,2,,3,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,1,5,4,4,4,5,4,4,3,1,5,2,2,2,24,1,4,12,54,0,65,1,2,1,,6,,111,10,,,,"2,1",32,4,5,,6,5,,10,6,,,7,,,,,,,,,,,,,,,,,,,,44,9,5,8,13,6,8,20,12,5,5,5,5,7,17,3
7,18 Dec 2021 - 00:05:23 CET,18 Dec 2021 - 00:05:23 CET,0h 0m 0s,0h 0m 0s,1639782323,1639782323,1,4,,TERMINATEEARLY,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15",Mac OS X 10.15.6,Safari 15.1,2001:8003:364d:5601:8ca:eee7:94ae:acda,1180,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,18 Dec 2021 - 00:06:15 CET,18 Dec 2021 - 00:13:52 CET,0h 7m 37s,0h 7m 37s,1639782375,1639782832,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.57",Windows 10.0,Edg 96.0.1054.57,2001:8003:601c:c500:941a:1ef9:7e50:a762,1366,,1,1,2,,1,0,0,0,0,0,,2,,3,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,2,4,3,4,2,5,3,2,2,3,3,1,2,1,20,25,21,50,17,0,69,1,2,2,,7,,10,10,,,,"2,1",404,8,5,,26,8,,21,12,,,8,,,,,,,,,,,,,,,,,,,,122,55,9,8,30,14,22,18,17,12,12,4,18,8,16,4
9,18 Dec 2021 - 00:28:11 CET,18 Dec 2021 - 00:32:05 CET,0h 3m 54s,0h 3m 50s,1639783691,1639783925,1,5,,Terminate,1,Mozilla/5.0 (Windows NT 6.0; Win64; x64; rv:75.0) Gecko/20100101 Firefox/75.0,Windows Vista,Firefox 75.0,1.152.105.75,1366,,1,1,2,,0,0,0,0,0,1,,2,,4,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,4,4,2,3,4,2,4,4,4,5,3,4,4,2,3,78,49,51,52,,0,69,1,2,1,,7,,10,10,,,,"2,1",11,5,8,,6,6,,15,9,,,10,,,,,,,,,,,,,,,,,,,,46,12,9,15,8,8,8,7,3,10,5,7,5,6,16,6
10,18 Dec 2021 - 00:40:22 CET,18 Dec 2021 - 00:46:17 CET,0h 5m 55s,0h 5m 54s,1639784422,1639784777,1,5,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_8_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1",,Safari 604.1,149.167.171.115,414,,1,3,2,,0,0,0,0,0,1,,2,,4,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,7,1,1,45,71,100,61,,1,26,1,8,4,,8,,125,10,,,,"2,1",9,6,6,,25,6,,18,13,,,23,,,,,,,,,,,,,,,,,,,,49,15,16,11,14,18,12,18,8,18,5,12,17,16,21,7
