sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,Agreement,Q0,Q1,Q1a,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_5_other,firstQ4,Q4a1,firstQ3,firstQ3a,secondQ4,Q4a,Q5,CBC_Random1,CBC_Random3,CBC_Random4,CBC_Random5,CBC_Random6,CBC_Random2,WTP,Q12,Q12_8_other,Q13toQ16_r1,Q13toQ16_r2,Q13toQ16_r3,Q13toQ16_r4,Q17,Q17_4_other,Q18,Q18_5_other,Q991,Q992,Q993,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_9_other,secondQ3,secondQ3a,Q20toQ34_r1,Q20toQ34_r2,Q20toQ34_r3,Q20toQ34_r4,Q20toQ34_r5,Q20toQ34_r6,Q20toQ34_r7,Q20toQ34_r8,Q20toQ34_r9,Q20toQ34_r10,Q20toQ34_r11,Q20toQ34_r12,Q20toQ34_r13,Q20toQ34_r14,Q20toQ34_r15,Q37,Documentaries,Optimism,Q41_1,Q42_1,Q43_1,Q45_1,Q46_1,Prefernottosay_1,Q47,Q48,Q49,Q50,Q50_6_other,Q51,Q51_9_other,Q52,Q53,Comments,sys_CBCVersion_CBC,sys_CBCDesignID_CBC,sys_block_set_1,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17,sys_pagetime_18,sys_pagetime_19,sys_pagetime_20,sys_pagetime_21,sys_pagetime_22,sys_pagetime_23,sys_pagetime_24,sys_pagetime_25,sys_pagetime_26,sys_pagetime_27,sys_pagetime_28,sys_pagetime_29,sys_pagetime_30,sys_pagetime_31,sys_pagetime_32,sys_pagetime_33,sys_pagetime_34,sys_pagetime_35,sys_pagetime_36,sys_pagetime_37,sys_pagetime_38,sys_pagetime_39,sys_pagetime_40,sys_pagetime_41,sys_pagetime_42,sys_pagetime_43,sys_pagetime_44,sys_pagetime_45,sys_pagetime_46,sys_pagetime_47
1,17 Dec 2021 - 17:46:48 CET,17 Dec 2021 - 17:55:09 CET,0h 8m 21s,0h 8m 16s,1639759608,1639760109,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 11; SM-G988B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.92 Mobile Safari/537.36",Android 11,Chrome 96.0.4664.92,181.42.8.145,412,,1,3,1,2,0,1,1,0,0,0,,1,25000,,,,,1,1,2,1,1,2,1,6,2,,2,2,2,2,2,,2,,3,3,3,0,1,1,0,0,0,0,0,0,0,,3,4,3,5,5,4,4,5,5,5,4,3,4,5,5,5,5,6,1,2,70,66,73,74,,1,29,1,2,2,,4,,37,37,,1,CBC3_1618573147_0,"1,2",7,6,3,7,8,4,6,,,,,24,4,3,25,5,11,6,5,5,4,7,11,11,14,11,11,12,53,21,3,34,30,11,27,9,10,5,3,6,7,25,10,10,8,16,5
2,17 Dec 2021 - 17:55:55 CET,17 Dec 2021 - 18:05:48 CET,0h 9m 53s,0h 9m 52s,1639760155,1639760748,1,2,,Uncertainty,1,"Mozilla/5.0 (Linux; Android 10; MAR-LX3A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36",Android 10,Chrome 96.0.4664.104,190.114.40.27,320,,1,3,2,,0,0,0,0,0,1,,2,,4,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,1",509,20,10,,38,40,,103,39,,,84,85,118,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17 Dec 2021 - 18:04:01 CET,17 Dec 2021 - 23:42:17 CET,5h 38m 16s,5h 38m 15s,1639760641,1639780937,1,2,,CBC_Random1,1,"Mozilla/5.0 (Linux; Android 10; M2004J19C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36",Android 10,Chrome 87.0.4280.101,186.11.114.166,393,,1,1,2,,0,1,1,0,0,0,,1,50000,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,CBC3_1618573147_0,"1,2",15,12,5,,20,8,19,,,,,13,20155,37,18,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,17 Dec 2021 - 18:04:35 CET,17 Dec 2021 - 18:09:40 CET,0h 5m 5s,0h 5m 4s,1639760675,1639760980,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 9; MAR-LX3A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Mobile Safari/537.36",Android 9,Chrome 80.0.3987.132,181.43.227.41,424,,1,1,2,,0,0,0,0,0,1,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,5,4,5,5,5,5,4,5,2,5,5,5,4,5,5,1,3,48,22,64,44,26,0,21,2,7,3,,8,,37,37,,,,"1,2",50,37,4,,13,6,6,,,,,6,,,,,,,,,,,,,,,,,,12,8,48,11,7,7,44,11,7,12,15,5,4,7,13,4,14,3
5,17 Dec 2021 - 18:12:38 CET,17 Dec 2021 - 18:16:46 CET,0h 4m 8s,0h 4m 5s,1639761158,1639761406,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,186.67.71.55,1600,,1,1,1,3,0,1,0,0,0,0,,,,1,,1,5000,1,2,2,2,1,2,1,6,4,,2,2,2,3,2,,2,,1,1,3,0,1,0,0,0,0,0,0,0,0,,,,2,2,3,3,2,2,2,2,3,3,3,3,3,3,4,2,1,1,73,78,80,79,71,0,41,2,6,4,,5,,37,37,nada que cometar,5,CBC3_1618573147_0,"2,1",4,5,4,5,6,,,7,,6,5,5,5,8,17,2,6,5,5,4,3,4,8,8,5,6,4,6,5,,,14,10,3,3,4,3,3,3,4,5,5,8,2,3,20,11
6,17 Dec 2021 - 18:14:18 CET,17 Dec 2021 - 18:49:27 CET,0h 35m 9s,0h 35m 8s,1639761258,1639763367,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",Windows 10.0,Chrome 96.0.4664.93,186.148.5.59,1366,,1,1,1,1,0,0,1,0,0,0,,2,,4,5,,,1,2,1,1,1,1,2,12,5,,4,5,4,4,1,,1,,3,3,3,0,1,0,0,0,0,0,0,0,0,,,,5,5,5,5,4,3,3,3,3,3,4,4,4,4,4,3,2,2,71,69,50,56,57,0,60,1,4,4,,1,,37,37,no,6,CBC3_1618573147_0,"2,1",41,9,11,9,17,8,,20,12,,,9,34,4,753,8,31,24,15,600,12,13,20,12,24,17,8,17,17,,,68,62,16,13,25,56,11,23,12,6,5,22,8,40,30,7
7,17 Dec 2021 - 18:19:33 CET,17 Dec 2021 - 18:24:26 CET,0h 4m 53s,0h 4m 53s,1639761573,1639761866,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 11; SM-A307G Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/88.0.4324.93 Mobile Safari/537.36 EdgW/1.0",Android 11,EdgW 1.0,200.29.148.130,412,,1,3,2,,0,0,0,0,0,1,,2,,4,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,5,4,5,5,5,4,5,5,5,5,5,5,1,2,55,31,81,70,69,0,35,2,2,2,,1,,8,37,,,,"2,1",6,6,4,,6,6,,12,8,,,6,,,,,,,,,,,,,,,,,,,,48,13,15,9,20,9,17,17,13,5,5,24,15,7,13,15
8,17 Dec 2021 - 18:27:11 CET,17 Dec 2021 - 18:32:42 CET,0h 5m 31s,0h 5m 30s,1639762031,1639762362,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 11; SAMSUNG SM-A217M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/16.0 Chrome/92.0.4515.166 Mobile Safari/537.36",Android 11,Chrome 92.0.4515.166,201.186.235.115,384,,1,3,2,,0,0,0,0,0,1,,2,,4,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,5,1,5,5,5,4,3,5,5,3,4,2,2,1,54,41,44,46,93,0,57,1,7,2,,1,,37,37,,,,"2,1",20,13,5,,11,6,,20,12,,,7,,,,,,,,,,,,,,,,,,,,79,23,5,8,14,8,11,11,8,8,5,22,7,11,30,6
9,17 Dec 2021 - 18:27:15 CET,17 Dec 2021 - 18:45:35 CET,0h 18m 20s,0h 18m 12s,1639762035,1639763135,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 9; SM-J701M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36",Android 9,Chrome 96.0.4664.104,201.219.234.125,360,,1,1,2,,0,0,0,0,0,1,,1,50000,4,6,,,1,1,2,2,1,1,2,4,2,,5,5,4,3,1,,1,,1,2,1,1,1,0,1,0,0,0,0,0,0,,,,5,4,5,5,5,3,4,3,3,2,5,4,4,4,5,6,1,2,57,65,78,25,,1,28,2,1,4,,1,,37,37,,9,CBC3_1618573147_0,"2,1",21,5,6,,13,81,11,16,6,,,34,102,34,21,3,16,10,6,5,16,13,126,17,53,243,4,19,11,,,51,14,5,7,10,8,23,19,5,4,3,8,5,5,20,34
10,17 Dec 2021 - 18:29:47 CET,17 Dec 2021 - 18:29:56 CET,0h 0m 9s,0h 0m 8s,1639762187,1639762196,1,2,,Q1,1,"Mozilla/5.0 (Linux; Android 10; LM-K510) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.92 Mobile Safari/537.36",Android 10,Chrome 96.0.4664.92,2800:150:112:1351:216e:c638:3626:f45f,412,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,17 Dec 2021 - 18:30:43 CET,17 Dec 2021 - 18:53:45 CET,0h 23m 2s,0h 22m 58s,1639762243,1639763625,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 10; LM-K510) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.92 Mobile Safari/537.36",Android 10,Chrome 96.0.4664.92,2800:150:112:1351:216e:c638:3626:f45f,412,,1,1,2,,0,0,1,0,0,0,,1,20000,,,,,1,1,2,1,1,1,1,9,5,,4,4,4,4,1,,2,,3,3,4,1,1,1,1,1,1,1,1,0,0,,3,5,4,4,4,5,5,5,5,4,5,5,5,5,4,4,5,6,1,3,71,65,68,86,42,1,42,2,1,4,,5,,37,37,,11,CBC3_1618573147_0,"1,2",4,9,4,,14,650,10,,,,,11,29,62,32,42,30,18,17,13,24,17,13,17,21,21,17,18,16,11,8,64,15,6,13,13,19,8,19,14,10,4,18,6,10,28,7
12,17 Dec 2021 - 18:32:23 CET,17 Dec 2021 - 18:36:21 CET,0h 3m 58s,0h 3m 54s,1639762343,1639762581,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 7.0; LG-M250) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36",Android 7.0,Chrome 96.0.4664.104,186.107.240.57,360,,1,2,2,,0,0,1,0,0,0,,2,,,,,,1,2,2,2,2,2,2,20,3,,3,4,5,5,3,,4,,3,3,3,0,0,0,0,1,0,0,0,0,0,,4,6,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,2,1,100,100,100,100,100,0,31,1,2,3,,3,,37,37,No,12,CBC3_1618573147_0,"1,2",5,4,5,,7,21,,,,,,10,2,3,6,5,6,5,4,25,14,2,6,3,6,2,3,5,3,3,3,22,4,4,2,4,3,3,2,2,4,2,5,3,3,14,4
13,17 Dec 2021 - 18:37:41 CET,17 Dec 2021 - 19:09:23 CET,0h 31m 42s,0h 32m 14s,1639762661,1639764563,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,191.125.7.144,1366,,1,1,1,2,0,0,1,0,0,0,,2,,4,6,,,1,1,3,3,3,1,2,21,2,,5,5,5,5,2,,2,,4,4,4,1,1,1,1,1,1,1,1,0,0,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,2,91,99,100,100,5,0,43,2,1,4,,1,,37,37,"Creo que un tema muy importante de conocer, ya que el que le hemos causadon a nuestro planeta es enorme, si todos contribuyeramos aunque un poco creo que el mundo seria mejor",13,CBC3_1618573147_0,"2,1",34,155,5,7,28,10,,20,79,,,6,18,73,52,39,23,8,267,5,3,6,26,8,23,22,38,159,200,,,359,9,8,12,32,7,16,22,12,6,4,36,11,10,22,71
14,17 Dec 2021 - 18:47:41 CET,17 Dec 2021 - 18:55:14 CET,0h 7m 33s,0h 7m 32s,1639763261,1639763714,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 11; SM-A217M Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/96.0.4664.104 Mobile Safari/537.36",Android 11,Chrome 96.0.4664.104,181.43.92.141,412,,1,1,1,2,0,1,1,0,0,0,,1,50000,,,,,1,1,2,2,2,1,2,12,1,,5,4,4,4,2,,1,,3,3,3,1,0,0,0,0,1,1,0,0,0,,4,6,4,3,4,4,4,3,2,3,4,1,5,5,5,3,3,6,1,1,85,79,39,34,54,0,25,1,2,3,,1,,37,37,,14,CBC3_1618573147_0,"1,2",7,5,3,4,10,4,10,,,,,6,19,14,16,3,16,10,7,8,9,6,13,8,22,16,16,15,25,16,5,42,11,7,12,13,10,8,12,7,5,2,8,6,8,11,4
15,17 Dec 2021 - 18:56:35 CET,17 Dec 2021 - 19:00:31 CET,0h 3m 56s,0h 3m 51s,1639763795,1639764031,1,5,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Mobile/15E148 Safari/604.1",,Safari 604.1,179.4.116.161,414,,1,1,1,3,1,1,1,1,0,0,,1,20000,3,4,,,1,2,1,1,1,1,2,14,2,,4,5,4,4,1,,1,,3,4,4,1,0,0,0,1,0,1,0,0,0,,,,4,5,4,5,5,5,5,5,4,5,4,5,5,4,4,6,1,1,85,79,90,87,63,0,21,2,2,5,,1,,37,37,,15,CBC3_1618573147_0,"2,1",7,9,4,5,6,3,5,6,15,,,3,7,3,3,2,8,4,10,5,5,7,11,5,7,3,3,4,6,,,16,6,2,4,3,4,2,4,3,4,2,9,4,5,11,3
