sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,Agreement,Q0,Q1,Q1a,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_5_other,firstQ4,Q4a1,firstQ3,firstQ3a,secondQ4,Q4a,Q5,CBC_Random1,CBC_Random3,CBC_Random4,CBC_Random5,CBC_Random6,CBC_Random2,WTP,Q12,Q12_8_other,Q13toQ16_r1,Q13toQ16_r2,Q13toQ16_r3,Q13toQ16_r4,Q17,Q17_4_other,Q18,Q18_5_other,Q991,Q992,Q993,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_9_other,secondQ3,secondQ3a,Q20toQ34_r1,Q20toQ34_r2,Q20toQ34_r3,Q20toQ34_r4,Q20toQ34_r5,Q20toQ34_r6,Q20toQ34_r7,Q20toQ34_r8,Q20toQ34_r9,Q20toQ34_r10,Q20toQ34_r11,Q20toQ34_r12,Q20toQ34_r13,Q20toQ34_r14,Q20toQ34_r15,Q37,Documentaries,Optimism,Q41_1,Q42_1,Q43_1,Q45_1,Q46_1,Prefernottosay_1,Q47,Q48,Q49,Q50,Q50_6_other,Q51,Q51_9_other,Q52,Q53,Comments,sys_CBCVersion_CBC,sys_CBCDesignID_CBC,sys_block_set_1,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17,sys_pagetime_18,sys_pagetime_19,sys_pagetime_20,sys_pagetime_21,sys_pagetime_22,sys_pagetime_23,sys_pagetime_24,sys_pagetime_25,sys_pagetime_26,sys_pagetime_27,sys_pagetime_28,sys_pagetime_29,sys_pagetime_30,sys_pagetime_31,sys_pagetime_32,sys_pagetime_33,sys_pagetime_34,sys_pagetime_35,sys_pagetime_36,sys_pagetime_37,sys_pagetime_38,sys_pagetime_39,sys_pagetime_40,sys_pagetime_41,sys_pagetime_42,sys_pagetime_43,sys_pagetime_44,sys_pagetime_45,sys_pagetime_46,sys_pagetime_47
1,17 Dec 2021 - 17:55:45 CET,17 Dec 2021 - 18:08:54 CET,0h 13m 9s,0h 13m 6s,1639760145,1639760934,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 10; ALP-AL00 Build/HUAWEIALP-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/77.0.3865.120 MQQBrowser/6.2 TBS/045737 Mobile Safari/537.36 wxwork/3.1.20 ColorScheme/Light MicroMessenger/7.0.1 NetType/WIFI Language/zh Lang/zh",Android 10,Lang zh,112.32.13.158,360,,1,1,1,1,1,0,0,0,0,0,,1,,,,,,1,1,1,2,1,1,2,11,2,,5,5,5,4,3,,3,,3,3,2,1,0,0,0,0,1,1,0,0,0,,4,3,3,3,2,3,3,2,2,2,3,1,1,1,3,3,4,3,1,3,100,0,0,70,27,0,50,1,6,5,,1,,38,38,,1,CBC3_1618573147_0,"1,2",15,17,7,6,15,10,12,,,,,11,20,27,38,3,25,38,21,46,7,22,11,13,22,13,46,27,16,16,6,56,62,15,5,12,14,7,16,9,4,3,11,5,6,61,5
2,17 Dec 2021 - 22:26:13 CET,17 Dec 2021 - 22:34:18 CET,0h 8m 5s,0h 8m 3s,1639776373,1639776858,1,5,,Terminate,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko)",Mac OS X 10.15.6,AppleWebKit 605.1.15,183.193.160.243,768,,1,3,2,,0,0,0,0,0,1,,2,,3,7,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,2,1,2,2,2,2,2,1,3,1,2,4,2,2,49,48,47,51,50,0,62,1,5,2,,7,,38,38,,,,"2,1",6,19,7,,18,6,,22,77,,,10,,,,,,,,,,,,,,,,,,,,112,12,12,16,20,13,13,12,12,9,5,40,7,7,29,5
3,18 Dec 2021 - 00:42:16 CET,18 Dec 2021 - 00:53:40 CET,0h 11m 24s,0h 11m 23s,1639784536,1639785220,1,5,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Mobile/15E148 Safari/604.1",,Safari 604.1,112.41.2.49,320,,1,1,2,,0,0,0,0,0,1,,2,,,,,,1,1,2,1,2,2,1,8,5,,5,5,5,4,3,,4,,4,3,4,1,1,0,0,0,1,1,0,0,0,,4,6,4,4,5,5,5,5,3,4,5,5,5,5,5,4,5,6,2,3,100,27,67,31,34,0,56,1,5,3,,1,,38,38,,3,CBC3_1618573147_0,"1,2",7,13,8,,11,11,,,,,,11,4,10,23,9,16,14,16,7,11,7,14,18,24,26,19,18,25,17,30,55,18,9,14,15,18,23,26,18,6,2,16,10,5,81,5
4,18 Dec 2021 - 01:25:11 CET,18 Dec 2021 - 01:29:18 CET,0h 4m 7s,0h 4m 5s,1639787111,1639787358,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0",Windows 7,Chrome 80.0.3987.87,223.93.65.49,1280,,1,2,2,,0,0,0,0,0,1,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,2,50,50,50,50,50,0,61,1,4,2,,1,,38,38,,,,"1,2",15,17,4,,18,9,,,,,,8,,,,,,,,,,,,,,,,,,27,9,20,8,13,8,19,9,3,4,8,6,5,12,6,4,21,7
5,18 Dec 2021 - 01:26:18 CET,18 Dec 2021 - 01:34:18 CET,0h 8m 0s,0h 7m 56s,1639787178,1639787658,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",Windows 7,Chrome 86.0.4240.198,240e:390:6078:8f0:d99b:d7c0:b5b5:b39e,1312,,1,1,2,,0,0,0,0,0,1,,2,,4,4,,,1,2,1,1,2,1,2,19,2,,4,5,5,3,2,,1,,3,3,3,1,1,1,0,1,1,1,0,0,0,,,,3,3,3,3,4,2,3,3,3,3,3,3,3,3,3,5,2,2,88,68,74,88,,1,59,1,6,4,,1,,38,38,,5,CBC3_1618573147_0,"2,1",12,8,15,,9,21,,9,6,,,22,31,10,62,3,12,21,11,13,6,13,5,8,10,9,11,12,12,,,20,6,10,6,8,20,8,13,6,7,3,6,3,3,16,2
6,18 Dec 2021 - 01:28:59 CET,18 Dec 2021 - 01:42:24 CET,0h 13m 25s,0h 13m 21s,1639787339,1639788144,1,5,,Terminate,1,Mozilla/5.0 (Windows NT 5.1; rv:52.0) Gecko/20100101 Firefox/52.0,Windows XP,Firefox 52.0,183.209.34.211,1280,,1,1,2,,0,1,0,0,0,0,,2,,4,6,,,1,1,2,1,1,1,1,5,1,,5,4,4,4,3,,4,,3,3,3,0,0,0,0,0,0,1,0,0,0,,,,5,3,5,4,5,3,5,2,2,2,2,2,4,2,3,4,2,2,99,97,98,98,50,0,60,1,5,3,,7,,38,38,,6,CBC3_1618573147_0,"2,1",9,27,4,,31,5,,8,10,,,18,10,6,94,3,33,16,30,66,26,11,29,10,16,11,15,12,14,,,86,12,7,7,9,9,19,6,8,7,3,19,29,10,25,40
7,18 Dec 2021 - 01:47:55 CET,18 Dec 2021 - 02:04:12 CET,0h 16m 17s,0h 16m 16s,1639788475,1639789452,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.57",Windows 10.0,Edg 96.0.1054.57,182.151.101.188,1440,,1,2,2,,0,0,0,0,0,1,,2,,4,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,4,0,100,100,100,50,0,42,1,4,5,,1,,38,38,,,,"2,1",12,9,28,,586,12,,34,44,,,6,,,,,,,,,,,,,,,,,,,,15,8,6,8,30,8,63,30,39,5,3,8,4,3,24,3
8,18 Dec 2021 - 01:54:30 CET,18 Dec 2021 - 02:00:26 CET,0h 5m 56s,0h 5m 53s,1639788870,1639789226,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",Windows 10.0,Chrome 86.0.4240.198,110.82.168.48,1872,,1,1,2,,0,0,0,0,0,1,,2,,4,3,,,1,1,2,2,2,1,2,11,3,,5,4,4,3,2,,3,,3,3,4,1,0,0,0,1,1,1,0,0,0,,,,3,3,4,5,5,5,4,4,5,4,4,5,4,4,5,4,2,3,38,41,41,29,58,0,57,1,2,2,,1,,38,38,,8,CBC3_1618573147_0,"2,1",8,4,4,,5,4,,8,5,,,3,7,15,26,3,27,17,9,15,8,5,10,6,10,7,9,8,12,,,23,7,5,6,3,7,6,5,6,5,3,9,3,3,30,5
9,18 Dec 2021 - 02:03:58 CET,18 Dec 2021 - 02:25:18 CET,0h 21m 20s,0h 36m 59s,1639789438,1639790718,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",Windows 7,Chrome 86.0.4240.198,1.71.242.151,1440,,1,1,2,,0,0,0,0,0,1,,2,,4,5,,,1,1,2,2,2,2,2,6,3,,5,5,5,5,3,,2,,4,4,4,1,1,1,1,1,1,1,1,0,0,,,,5,5,5,5,5,2,2,2,2,2,5,5,5,5,4,7,2,3,98,76,36,63,64,0,66,1,3,4,,7,,38,38,,9,CBC3_1618573147_0,"2,1",1142,16,287,,66,22,,28,68,,,46,88,33,229,14,224,108,95,21,9,7,24,14,17,13,16,14,19,,,43,14,12,8,11,10,12,14,9,6,5,9,5,5,24,5
10,18 Dec 2021 - 02:05:48 CET,18 Dec 2021 - 02:19:16 CET,0h 13m 28s,0h 17m 59s,1639789548,1639790356,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",Windows 10.0,Chrome 75.0.3770.100,175.172.40.254,1918,,1,1,2,,0,0,0,0,0,1,,2,,4,5,,,1,2,1,1,1,2,2,13,1,,4,5,5,3,2,,2,,3,4,3,1,1,1,0,0,1,1,0,0,0,,,,4,3,4,5,5,4,4,4,5,5,4,4,5,3,4,5,1,2,80,69,67,33,50,1,37,2,5,4,,1,,38,38,,10,CBC3_1618573147_0,"2,1",18,9,4,,14,5,,10,13,,,8,36,68,50,13,33,33,28,16,22,21,31,19,128,19,19,17,28,,,91,13,19,15,9,10,9,12,11,8,3,17,9,4,50,3
11,18 Dec 2021 - 02:07:45 CET,18 Dec 2021 - 02:18:00 CET,0h 10m 15s,0h 58m 46s,1639789665,1639790280,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 10; EML-AL00; HMSCore 6.2.0.301; GMSCore 20.15.16) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.105 HuaweiBrowser/12.0.1.300 Mobile Safari/537.36",Android 10,HuaweiBrowser 12.0.1.300,111.226.224.151,360,,1,2,2,,0,0,0,0,0,1,,1,2000,,,,,1,1,2,1,1,1,2,11,2,,4,4,4,3,2,,1,,3,3,3,1,0,0,0,0,0,1,0,0,0,,4,5,3,4,4,4,5,3,3,4,4,3,3,3,3,3,3,5,2,3,69,53,62,65,49,0,39,2,5,5,,1,,38,38,,11,CBC3_1618573147_0,"1,2",6,20,16,,21,20,26,,,,,18,19,38,41,23,43,68,34,44,28,22,27,32,37,23,32,38,46,42,47,164,292,25,22,30,36,27,32,38,22,30,100,191,34,128,16
12,18 Dec 2021 - 02:07:56 CET,18 Dec 2021 - 02:07:56 CET,0h 0m 0s,0h 0m 0s,1639789676,1639789676,1,2,,Text1,1,"Mozilla/5.0 (Linux; Android 10; EML-AL00; HMSCore 6.2.0.301; GMSCore 20.15.16) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.105 HuaweiBrowser/12.0.1.300 Mobile Safari/537.36",Android 10,HuaweiBrowser 12.0.1.300,111.226.224.151,360,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,18 Dec 2021 - 02:37:59 CET,18 Dec 2021 - 03:01:50 CET,0h 23m 51s,0h 19m 49s,1639791479,1639792910,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0",Windows XP,Chrome 80.0.3987.87,114.217.186.7,1366,,1,3,2,,0,0,0,0,0,1,,,,2,,2,,1,2,2,2,2,2,2,21,5,,3,3,3,3,1,,1,,3,3,3,1,0,0,0,0,0,0,0,0,0,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,63,50,50,50,50,0,61,1,6,4,,7,,38,38,no,13,CBC3_1618573147_0,"2,1",43,46,28,,27,,,49,,6,,18,8,23,25,4,13,14,7,47,10,129,23,48,8,48,12,25,9,,,24,18,11,27,60,36,11,98,22,61,7,15,20,55,79,18
14,18 Dec 2021 - 02:51:29 CET,18 Dec 2021 - 03:05:35 CET,0h 14m 6s,0h 14m 4s,1639792289,1639793135,1,5,,Terminate,1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:96.0) Gecko/20100101 Firefox/96.0,Windows 10.0,Firefox 96.0,119.97.213.22,1920,,1,3,2,,0,0,0,0,0,1,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,3,5,4,4,5,1,2,3,5,1,2,3,4,1,4,4,2,3,60,67,66,14,50,1,43,1,3,2,,1,,38,38,,,,"1,2",44,99,112,,28,4,,,,,,6,,,,,,,,,,,,,,,,,,6,7,60,6,5,7,15,5,223,182,17,7,3,6,3,3,37,3
15,18 Dec 2021 - 03:00:29 CET,18 Dec 2021 - 03:07:59 CET,0h 7m 30s,0h 7m 26s,1639792829,1639793279,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 10; VOG-AL00) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36",Android 10,Chrome 96.0.4664.104,2409:8946:a4f:b684:465:a0ea:92ac:36ec,360,,1,1,1,1,1,0,1,0,0,0,,1,,4,6,,,1,2,1,2,2,2,1,11,5,,5,5,5,5,1,,2,,4,4,4,1,1,1,0,0,0,0,0,0,0,,,,5,5,5,5,5,4,4,4,5,3,4,3,3,3,4,5,1,3,82,41,83,36,25,0,46,1,1,4,,1,,38,38,,15,CBC3_1618573147_0,"2,1",7,7,5,6,9,4,5,9,7,,,6,5,6,20,5,15,7,9,7,6,8,15,7,18,9,7,12,16,,,42,12,5,7,6,17,7,11,6,5,3,13,10,5,64,3
16,18 Dec 2021 - 03:01:22 CET,18 Dec 2021 - 03:25:42 CET,0h 24m 20s,0h 24m 15s,1639792882,1639794342,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",Windows 7,Chrome 86.0.4240.198,183.199.92.82,1366,,1,1,1,4,1,0,1,1,0,0,,1,1000,4,5,,,1,2,2,1,1,2,2,20,2,,4,5,4,3,3,,2,,2,3,4,1,1,0,0,0,0,1,0,0,0,,,,5,5,5,4,4,5,4,4,4,3,4,5,5,4,4,6,3,2,98,77,68,87,28,0,46,2,5,4,,1,,38,38,长短适中，意义重大，希望今后多多益善。,16,CBC3_1618573147_0,"2,1",8,178,38,19,12,9,12,83,14,,,11,35,37,73,39,21,51,35,17,14,69,11,10,13,9,7,13,31,,,52,13,49,18,7,298,7,6,9,7,6,13,24,4,18,63
17,18 Dec 2021 - 03:02:01 CET,18 Dec 2021 - 03:07:13 CET,0h 5m 12s,0h 5m 9s,1639792921,1639793233,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",Windows 7,Chrome 86.0.4240.198,101.228.64.70,1188,,1,1,1,1,1,0,0,0,0,0,,1,1000,,,,,1,1,2,1,1,1,2,20,1,,5,5,5,5,2,,1,,4,4,4,1,1,0,1,0,0,0,0,0,0,,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,1,1,99,99,100,98,50,0,42,2,6,4,,1,,38,38,,17,CBC3_1618573147_0,"1,2",15,11,9,8,20,5,7,,,,,5,8,2,21,2,11,7,5,6,3,4,13,12,6,8,4,5,8,13,9,13,7,4,4,5,4,5,2,8,4,3,5,3,4,19,7
18,18 Dec 2021 - 03:07:06 CET,18 Dec 2021 - 03:14:59 CET,0h 7m 53s,0h 7m 48s,1639793226,1639793699,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0",Windows 10.0,Chrome 80.0.3987.87,101.228.136.250,2560,,1,3,2,,1,0,0,0,0,0,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,4,3,4,5,5,5,3,4,5,2,3,4,3,3,5,2,2,3,0,0,0,0,9,0,51,1,1,5,,6,,38,38,,,,"1,2",53,5,4,,8,80,,,,,,6,,,,,,,,,,,,,,,,,,6,5,58,66,4,5,14,5,14,5,15,4,31,3,8,3,11,108
19,18 Dec 2021 - 03:10:24 CET,18 Dec 2021 - 03:14:45 CET,0h 4m 21s,0h 4m 21s,1639793424,1639793685,1,5,,Terminate,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15",Mac OS X 10.15.6,Safari 15.1,113.92.152.225,1194,,1,2,1,1,0,0,0,0,0,1,,2,,3,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,2,2,52,55,74,69,41,0,42,2,5,4,,9,家庭主妇,38,38,,,,"2,1",7,16,5,9,10,3,,12,5,,,4,,,,,,,,,,,,,,,,,,,,41,22,5,8,5,5,8,6,5,3,3,9,4,12,59,2
20,18 Dec 2021 - 03:26:41 CET,18 Dec 2021 - 03:30:59 CET,0h 4m 18s,0h 4m 17s,1639794401,1639794659,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0",Windows 10.0,Chrome 80.0.3987.87,2408:8207:c21:bb80:6c2e:6708:d121:8a13,1448,,1,1,1,5,0,1,0,0,0,0,,2,,4,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,2,4,2,2,2,3,2,2,4,3,2,5,3,2,4,4,50,3,50,11,0,65,1,5,4,,7,,38,38,,,,"2,1",21,6,7,10,13,5,,11,13,,,11,,,,,,,,,,,,,,,,,,,,66,8,5,8,8,8,10,8,9,5,3,9,6,5,20,3
21,18 Dec 2021 - 03:38:56 CET,18 Dec 2021 - 03:48:35 CET,0h 9m 39s,0h 9m 38s,1639795136,1639795715,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36 Edg/96.0.1054.53",Windows 10.0,Edg 96.0.1054.53,122.115.226.137,1280,,1,1,1,4,1,0,1,1,0,0,,1,100,4,5,,,1,1,2,1,1,2,1,8,3,,5,4,4,4,2,,1,,3,3,3,1,1,0,0,1,0,1,0,0,0,,,,4,4,4,4,4,3,3,3,3,3,3,3,4,3,3,5,3,2,99,80,70,74,50,0,40,2,5,4,,1,,38,38,,21,CBC3_1618573147_0,"2,1",70,4,146,4,7,4,6,6,7,,,2,5,3,18,4,16,24,112,49,6,8,8,5,8,7,7,9,10,,,21,5,6,5,4,5,2,3,4,5,3,5,3,4,16,2
