sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,Agreement,Q0,Q1,Q1a,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_5_other,firstQ4,Q4a1,firstQ3,firstQ3a,secondQ4,Q4a,Q5,CBC_Random1,CBC_Random3,CBC_Random4,CBC_Random5,CBC_Random6,CBC_Random2,WTP,Q12,Q12_8_other,Q13toQ16_r1,Q13toQ16_r2,Q13toQ16_r3,Q13toQ16_r4,Q17,Q17_4_other,Q18,Q18_5_other,Q991,Q992,Q993,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_9_other,secondQ3,secondQ3a,Q20toQ34_r1,Q20toQ34_r2,Q20toQ34_r3,Q20toQ34_r4,Q20toQ34_r5,Q20toQ34_r6,Q20toQ34_r7,Q20toQ34_r8,Q20toQ34_r9,Q20toQ34_r10,Q20toQ34_r11,Q20toQ34_r12,Q20toQ34_r13,Q20toQ34_r14,Q20toQ34_r15,Q37,Documentaries,Optimism,Q41_1,Q42_1,Q43_1,Q45_1,Q46_1,Prefernottosay_1,Q47,Q48,Q49,Q50,Q50_6_other,Q51,Q51_9_other,Q52,Q53,Comments,sys_CBCVersion_CBC,sys_CBCDesignID_CBC,sys_block_set_1,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17,sys_pagetime_18,sys_pagetime_19,sys_pagetime_20,sys_pagetime_21,sys_pagetime_22,sys_pagetime_23,sys_pagetime_24,sys_pagetime_25,sys_pagetime_26,sys_pagetime_27,sys_pagetime_28,sys_pagetime_29,sys_pagetime_30,sys_pagetime_31,sys_pagetime_32,sys_pagetime_33,sys_pagetime_34,sys_pagetime_35,sys_pagetime_36,sys_pagetime_37,sys_pagetime_38,sys_pagetime_39,sys_pagetime_40,sys_pagetime_41,sys_pagetime_42,sys_pagetime_43,sys_pagetime_44,sys_pagetime_45,sys_pagetime_46,sys_pagetime_47
1,17 Dec 2021 - 18:16:25 CET,17 Dec 2021 - 18:27:51 CET,0h 11m 26s,0h 11m 24s,1639761385,1639762071,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 11; SM-A305G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36",Android 11,Chrome 96.0.4664.104,190.240.208.157,412,,1,1,2,,0,1,1,0,0,0,,1,50000,,,,,1,2,2,1,3,2,1,13,2,,5,5,4,4,1,,1,,3,4,3,1,0,0,0,0,0,0,0,0,0,,4,6,4,5,5,5,5,3,1,1,3,5,3,4,5,5,5,7,1,1,49,58,59,100,81,0,30,1,1,4,,5,,39,39,"Fue muy interesante, saber que nuestro ambiente es vida y salud y que tenemos la responsabilidad de cuidarlo y velar por ello.",1,CBC3_1618573147_0,"1,2",6,7,6,,9,7,11,,,,,6,3,3,16,5,45,9,4,5,15,6,25,20,17,20,12,33,20,22,9,60,16,9,17,25,15,13,24,9,8,3,15,23,12,28,72
2,17 Dec 2021 - 18:16:30 CET,17 Dec 2021 - 18:37:36 CET,0h 21m 6s,0h 21m 0s,1639761390,1639762656,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 10; STK-LX3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36",Android 10,Chrome 96.0.4664.104,191.106.160.49,360,,1,1,1,1,0,0,1,0,0,0,,2,,4,6,,,1,1,2,1,1,2,2,3,2,,5,4,5,4,3,,4,,1,1,2,1,1,0,1,1,1,1,1,0,0,,,,5,5,5,5,5,5,4,4,4,3,4,3,3,4,3,5,1,3,0,86,100,76,14,0,34,1,2,3,,5,,39,39,,2,CBC3_1618573147_0,"2,1",5,9,6,14,22,8,,28,11,,,14,34,7,42,28,63,12,14,19,18,13,14,13,36,49,18,41,105,,,138,24,7,22,180,26,104,21,33,7,4,10,9,9,23,5
3,17 Dec 2021 - 18:16:32 CET,17 Dec 2021 - 18:20:28 CET,0h 3m 56s,0h 3m 55s,1639761392,1639761628,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 10; MAR-LX3A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36",Android 10,Chrome 96.0.4664.104,186.114.26.181,360,,1,1,2,,0,0,1,0,0,0,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,4,5,5,5,5,4,5,5,4,3,5,5,5,3,5,5,1,3,37,66,66,82,,1,61,2,3,4,,4,,39,39,,,,"1,2",7,6,5,,7,4,,,,,,6,,,,,,,,,,,,,,,,,,8,7,41,13,9,8,21,14,8,21,6,6,3,13,5,6,15,3
4,17 Dec 2021 - 18:17:43 CET,17 Dec 2021 - 18:33:50 CET,0h 16m 7s,0h 16m 3s,1639761463,1639762430,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,181.237.44.118,1366,,1,1,1,2,0,0,1,1,0,0,,2,,,,,,1,1,2,1,2,1,2,9,1,,5,5,5,5,3,,2,,3,3,3,0,1,0,0,0,0,0,1,0,0,,4,6,5,5,5,4,5,3,5,5,4,2,5,5,5,2,5,2,1,1,88,86,85,50,50,0,23,2,2,4,,2,,39,39,,4,CBC3_1618573147_0,"1,2",16,7,4,11,12,5,,,,,,4,103,53,101,41,38,24,15,87,20,13,67,19,11,14,9,27,59,12,9,42,9,8,8,17,13,8,13,8,5,5,2,5,5,44,6
5,17 Dec 2021 - 18:18:02 CET,17 Dec 2021 - 18:18:02 CET,0h 0m 0s,0h 0m 0s,1639761482,1639761482,1,2,,Text1,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/96.0.4664.101 Mobile/15E148 Safari/604.1",,Mobile 15E148,186.155.193.228,375,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,17 Dec 2021 - 18:18:46 CET,17 Dec 2021 - 18:22:57 CET,0h 4m 11s,0h 4m 9s,1639761526,1639761777,1,5,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/96.0.4664.101 Mobile/15E148 Safari/604.1",,Mobile 15E148,186.155.193.228,375,,1,1,1,3,0,1,0,0,0,0,,,,2,,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,4,1,2,3,3,3,2,3,4,2,3,4,3,2,1,51,100,86,92,100,1,30,2,1,2,,5,,39,39,Si,,,"2,1",48,143,2,2,2,,,7,,2,4,2,,,,,,,,,,,,,,,,,,,,13,6,1,3,2,4,2,3,9,5,2,7,5,3,15,5
7,17 Dec 2021 - 18:18:59 CET,17 Dec 2021 - 18:20:52 CET,0h 1m 53s,0h 1m 52s,1639761539,1639761652,1,5,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/96.0.4664.101 Mobile/15E148 Safari/604.1",,Mobile 15E148,186.155.193.228,375,,1,1,1,4,0,0,1,0,0,0,,,,2,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,4,4,5,1,2,5,1,4,4,3,2,3,2,2,2,50,98,100,100,,1,30,2,3,4,,6,,39,39,Si,,,"2,1",4,3,3,3,5,,,3,,3,2,3,,,,,,,,,,,,,,,,,,,,26,4,4,1,3,6,2,4,3,4,3,4,4,4,11,4
8,17 Dec 2021 - 18:22:12 CET,17 Dec 2021 - 18:23:48 CET,0h 1m 36s,0h 1m 35s,1639761732,1639761828,1,2,,CBC_Random1,1,"Mozilla/5.0 (Linux; Android 11; moto g(30)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.92 Mobile Safari/537.36",Android 11,Chrome 96.0.4664.92,181.235.88.120,412,,1,1,2,,0,1,1,0,0,0,,2,,4,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,CBC3_1618573147_0,"2,1",5,7,6,,8,6,,21,8,,,6,21,4,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,17 Dec 2021 - 18:23:01 CET,17 Dec 2021 - 18:32:33 CET,0h 9m 32s,0h 9m 32s,1639761781,1639762353,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 7.1.1; Moto E (4) Plus) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.74 Mobile Safari/537.36",Android 7.1.1,Chrome 95.0.4638.74,152.204.167.25,360,,1,1,1,3,1,0,1,0,0,0,,1,50000,4,6,,,1,1,1,2,1,2,1,11,1,,5,5,5,5,2,,3,,4,4,4,1,1,0,0,0,1,1,1,0,0,,,,5,5,5,5,5,4,5,5,4,5,5,5,5,4,5,6,1,2,100,100,85,90,76,0,31,1,2,4,,4,,39,39,Es necesario actuar urgente contra las elites que están dañando el planeta,9,CBC3_1618573147_0,"2,1",9,9,5,7,17,5,14,17,11,,,7,7,3,10,5,26,15,6,27,5,9,15,17,20,20,18,18,20,,,48,15,7,12,16,10,14,13,18,5,5,10,6,6,25,29
10,17 Dec 2021 - 18:23:55 CET,17 Dec 2021 - 18:31:21 CET,0h 7m 26s,0h 7m 24s,1639761835,1639762281,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 9; SM-G950F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36",Android 9,Chrome 96.0.4664.104,191.95.48.249,360,,1,1,1,1,0,1,0,0,0,0,,1,20000,4,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,4,5,5,5,5,5,4,5,5,5,5,5,5,2,3,69,62,70,37,57,0,52,1,1,3,,5,,39,39,"bastante interesante, tema que pocos tienen en cuenta.",,,"2,1",21,14,9,6,15,7,10,21,18,,,13,,,,,,,,,,,,,,,,,,,,99,14,7,9,23,26,9,18,10,7,6,13,6,12,46,26
