sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,Agreement,Q0,Q1,Q1a,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_5_other,firstQ4,Q4a1,firstQ3,firstQ3a,secondQ4,Q4a,Q5,CBC_Random1,CBC_Random3,CBC_Random4,CBC_Random5,CBC_Random6,CBC_Random2,WTP,Q12,Q12_8_other,Q13toQ16_r1,Q13toQ16_r2,Q13toQ16_r3,Q13toQ16_r4,Q17,Q17_4_other,Q18,Q18_5_other,Q991,Q992,Q993,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_9_other,secondQ3,secondQ3a,Q20toQ34_r1,Q20toQ34_r2,Q20toQ34_r3,Q20toQ34_r4,Q20toQ34_r5,Q20toQ34_r6,Q20toQ34_r7,Q20toQ34_r8,Q20toQ34_r9,Q20toQ34_r10,Q20toQ34_r11,Q20toQ34_r12,Q20toQ34_r13,Q20toQ34_r14,Q20toQ34_r15,Q37,Documentaries,Optimism,Q41_1,Q42_1,Q43_1,Q45_1,Q46_1,Prefernottosay_1,Q47,Q48,Q49,Q50,Q50_6_other,Q51,Q51_9_other,Q52,Q53,Comments,sys_CBCVersion_CBC,sys_CBCDesignID_CBC,sys_block_set_1,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17,sys_pagetime_18,sys_pagetime_19,sys_pagetime_20,sys_pagetime_21,sys_pagetime_22,sys_pagetime_23,sys_pagetime_24,sys_pagetime_25,sys_pagetime_26,sys_pagetime_27,sys_pagetime_28,sys_pagetime_29,sys_pagetime_30,sys_pagetime_31,sys_pagetime_32,sys_pagetime_33,sys_pagetime_34,sys_pagetime_35,sys_pagetime_36,sys_pagetime_37,sys_pagetime_38,sys_pagetime_39,sys_pagetime_40,sys_pagetime_41,sys_pagetime_42,sys_pagetime_43,sys_pagetime_44,sys_pagetime_45,sys_pagetime_46,sys_pagetime_47
1,17 Dec 2021 - 17:56:58 CET,17 Dec 2021 - 17:56:59 CET,0h 0m 1s,0h 0m 0s,1639760218,1639760219,1,4,,TERMINATEEARLY,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,2409:4072:6d89:2048:b961:50f8:cfa8:e9bc,1280,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,17 Dec 2021 - 18:00:39 CET,17 Dec 2021 - 18:11:35 CET,0h 10m 56s,0h 10m 52s,1639760439,1639761095,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 9; SM-N950U Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/96.0.4664.92 Mobile Safari/537.36",Android 9,Chrome 96.0.4664.92,154.160.22.1,412,,1,3,2,,0,0,0,0,0,1,,1,200,4,6,,,1,2,1,2,1,1,2,10,5,,5,4,5,3,3,,2,,3,4,4,1,0,1,1,0,1,0,0,0,0,,,,4,3,5,5,4,5,3,4,5,4,4,4,4,3,4,5,1,1,69,68,70,60,72,0,36,1,2,5,,1,,67,67,Not available,2,CBC3_1618573147_0,"2,1",6,39,9,,17,9,6,26,11,,,8,38,6,21,4,21,19,6,5,8,4,22,19,27,29,18,29,18,,,61,22,8,11,19,6,7,21,11,6,3,5,6,4,32,11
3,17 Dec 2021 - 18:01:44 CET,17 Dec 2021 - 18:01:44 CET,0h 0m 0s,0h 0m 0s,1639760504,1639760504,1,2,,Text1,1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:95.0) Gecko/20100101 Firefox/95.0,Windows 10.0,Firefox 95.0,41.66.203.167,1366,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,17 Dec 2021 - 18:03:51 CET,17 Dec 2021 - 18:10:49 CET,0h 6m 58s,0h 6m 58s,1639760631,1639761049,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 7.0; TECNO AX8 Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/95.0.4638.74 Mobile Safari/537.36",Android 7.0,Chrome 95.0.4638.74,154.160.23.20,360,,1,1,1,4,0,0,1,0,0,0,,1,50,,,,,1,2,1,1,1,1,1,13,1,,5,5,3,5,3,,1,,3,4,3,1,0,0,0,0,0,0,0,0,0,,3,5,5,4,4,5,5,4,5,5,4,5,5,4,4,4,5,7,1,1,90,79,78,81,27,0,27,1,2,2,,4,,67,67,Very good and reliable,4,CBC3_1618573147_0,"1,2",12,16,6,11,11,6,9,,,,,7,10,7,38,3,8,9,5,8,4,5,16,6,22,10,7,14,10,8,4,40,8,4,4,4,4,4,2,4,20,3,13,5,5,22,16
5,17 Dec 2021 - 18:05:11 CET,17 Dec 2021 - 18:13:38 CET,0h 8m 27s,0h 8m 26s,1639760711,1639761218,1,5,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/96.0.4664.53 Mobile/15E148 Safari/604.1",,Mobile 15E148,154.160.22.169,414,,1,3,2,,0,0,0,0,0,1,,2,,4,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,3,4,5,3,2,5,2,3,5,4,2,3,3,1,2,18,34,71,100,77,0,33,2,3,3,,4,,67,67,,,,"2,1",45,11,8,,10,8,,19,11,,,10,,,,,,,,,,,,,,,,,,,,116,56,18,18,20,21,16,31,12,13,8,25,19,27,24,5
6,17 Dec 2021 - 18:06:25 CET,17 Dec 2021 - 18:26:35 CET,0h 20m 10s,0h 20m 10s,1639760785,1639761995,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36 Edg/96.0.1054.43",Windows 10.0,Edg 96.0.1054.43,154.160.23.47,1366,,1,1,2,,0,0,0,0,0,1,,2,,4,4,,,1,2,2,1,2,1,1,7,2,,4,3,4,4,3,,2,,3,3,3,1,1,1,1,1,1,1,1,0,0,,,,4,4,5,4,5,3,3,3,4,4,4,4,4,5,4,2,1,2,44,54,79,80,53,0,,1,2,4,,5,,130,67,"as a data analysts, this is a good survey and will go a long way if people giving this data can be truthfull in all the questions asked.",6,CBC3_1618573147_0,"2,1",17,113,15,,54,14,,30,15,,,14,63,61,69,8,32,49,20,31,21,16,25,32,31,31,27,26,24,,,64,25,13,13,18,18,16,37,15,11,7,20,10,14,22,86
7,17 Dec 2021 - 18:07:08 CET,17 Dec 2021 - 18:14:20 CET,0h 7m 12s,0h 7m 10s,1639760828,1639761260,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,197.251.154.75,1920,,1,3,2,,0,1,0,0,0,0,,2,,4,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,4,1,3,43,55,53,72,62,0,36,1,4,5,,1,,67,67,No I believe its short and concise,,,"2,1",5,14,9,,19,8,,56,45,,,13,,,,,,,,,,,,,,,,,,,,60,40,14,9,14,12,18,16,9,18,3,12,5,6,14,16
8,17 Dec 2021 - 18:09:34 CET,17 Dec 2021 - 18:19:55 CET,0h 10m 21s,0h 10m 20s,1639760974,1639761595,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 11; Infinix X695 Build/RP1A.200720.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/96.0.4664.104 Mobile Safari/537.36",Android 11,Chrome 96.0.4664.104,41.218.217.95,350,,1,2,2,,0,0,1,0,0,0,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,4,4,3,2,5,5,5,3,3,5,3,5,3,2,2,27,26,83,22,31,0,21,1,1,3,,1,,67,67,,,,"2,1",54,70,18,,30,,,21,,15,,38,,,,,,,,,,,,,,,,,,,,212,41,19,9,14,13,10,19,11,12,4,8,12,8,32,4
9,17 Dec 2021 - 18:09:35 CET,17 Dec 2021 - 18:16:55 CET,0h 7m 20s,0h 7m 20s,1639760975,1639761415,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 7.0; ASUS_X018D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.181 Mobile Safari/537.36",Android 7.0,Chrome 88.0.4324.181,154.160.4.22,360,,1,3,1,1,0,1,0,0,0,0,,1,500,4,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,5,5,4,5,5,5,5,5,3,5,5,3,5,7,1,1,49,100,0,65,66,0,21,1,8,7,,8,,67,67,It was great,,,"2,1",4,13,11,15,23,11,6,33,17,,,18,,,,,,,,,,,,,,,,,,,,73,29,7,15,19,23,9,11,5,16,3,13,20,8,26,16
10,17 Dec 2021 - 18:10:11 CET,17 Dec 2021 - 18:18:10 CET,0h 7m 59s,0h 7m 59s,1639761011,1639761490,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 10; SM-J610FN) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Mobile Safari/537.36",Android 10,Chrome 81.0.4044.138,41.215.171.124,412,,1,2,2,,0,0,1,0,0,0,,1,2,4,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,4,4,5,3,1,5,5,4,4,4,1,5,6,2,1,77,63,63,41,,1,,1,8,1,,8,,67,67,,,,"2,1",12,17,8,,16,8,16,40,12,,,10,,,,,,,,,,,,,,,,,,,,122,29,10,20,35,16,9,28,12,8,3,16,11,8,22,3
