sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,Agreement,Q0,Q1,Q1a,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_5_other,firstQ4,Q4a1,firstQ3,firstQ3a,secondQ4,Q4a,Q5,CBC_Random1,CBC_Random3,CBC_Random4,CBC_Random5,CBC_Random6,CBC_Random2,WTP,Q12,Q12_8_other,Q13toQ16_r1,Q13toQ16_r2,Q13toQ16_r3,Q13toQ16_r4,Q17,Q17_4_other,Q18,Q18_5_other,Q991,Q992,Q993,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_9_other,secondQ3,secondQ3a,Q20toQ34_r1,Q20toQ34_r2,Q20toQ34_r3,Q20toQ34_r4,Q20toQ34_r5,Q20toQ34_r6,Q20toQ34_r7,Q20toQ34_r8,Q20toQ34_r9,Q20toQ34_r10,Q20toQ34_r11,Q20toQ34_r12,Q20toQ34_r13,Q20toQ34_r14,Q20toQ34_r15,Q37,Documentaries,Optimism,Q41_1,Q42_1,Q43_1,Q45_1,Q46_1,Prefernottosay_1,Q47,Q48,Q49,Q50,Q50_6_other,Q51,Q51_9_other,Q52,Q53,Comments,sys_CBCVersion_CBC,sys_CBCDesignID_CBC,sys_block_set_1,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17,sys_pagetime_18,sys_pagetime_19,sys_pagetime_20,sys_pagetime_21,sys_pagetime_22,sys_pagetime_23,sys_pagetime_24,sys_pagetime_25,sys_pagetime_26,sys_pagetime_27,sys_pagetime_28,sys_pagetime_29,sys_pagetime_30,sys_pagetime_31,sys_pagetime_32,sys_pagetime_33,sys_pagetime_34,sys_pagetime_35,sys_pagetime_36,sys_pagetime_37,sys_pagetime_38,sys_pagetime_39,sys_pagetime_40,sys_pagetime_41,sys_pagetime_42,sys_pagetime_43,sys_pagetime_44,sys_pagetime_45,sys_pagetime_46,sys_pagetime_47
1,17 Dec 2021 - 18:23:07 CET,17 Dec 2021 - 18:29:08 CET,0h 6m 1s,0h 5m 57s,1639761787,1639762148,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 10; REALME RMX2020 Build/NMF26F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.96 Mobile Safari/537.36 AlohaBrowser/3.1.1",Android 10,AlohaBrowser 3.1.1,116.206.14.57,360,,1,1,1,6,1,1,1,0,0,0,,2,,,,,,1,2,1,2,1,2,1,17,1,,4,4,5,5,1,,1,,3,3,4,1,1,0,0,0,0,0,0,0,0,,3,3,4,5,3,4,4,4,4,5,5,4,4,4,4,4,5,6,1,1,100,67,98,73,94,0,28,2,5,5,,1,,81,81,Semoga lebih banyak lagi survei nya dan undang saya kembali,1,CBC3_1618573147_0,"1,2",6,53,4,7,9,4,,,,,,8,4,5,5,2,9,6,4,8,3,4,13,5,12,4,3,7,5,7,7,33,7,4,6,2,4,3,3,5,13,3,7,4,5,46,14
2,17 Dec 2021 - 18:29:48 CET,17 Dec 2021 - 18:37:02 CET,0h 7m 14s,0h 7m 12s,1639762188,1639762622,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 10; SM-A605G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36",Android 10,Chrome 96.0.4664.104,118.99.110.160,412,,1,3,2,,0,0,0,0,0,1,,2,,3,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,4,5,2,5,4,4,2,5,4,4,3,5,4,2,3,73,53,92,100,100,0,58,1,8,5,,9,Lawyer,81,81,Sangat baik,,,"2,1",13,9,8,,14,8,,17,27,,,9,,,,,,,,,,,,,,,,,,,,109,22,13,15,18,9,9,12,20,13,3,18,7,24,29,19
3,17 Dec 2021 - 18:46:24 CET,17 Dec 2021 - 18:53:05 CET,0h 6m 41s,0h 6m 37s,1639763184,1639763585,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 10; SAMSUNG SM-M205G) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/13.0 Chrome/83.0.4103.106 Mobile Safari/537.36",Android 10,Chrome 83.0.4103.106,120.188.37.91,412,,1,1,1,1,0,0,0,1,0,0,,2,,,,,,1,1,2,2,1,1,2,11,5,,3,4,4,3,2,,1,,3,3,4,1,1,1,0,0,0,1,0,0,0,,3,4,3,4,5,5,4,4,3,3,4,4,5,5,4,3,2,5,2,2,71,65,64,68,43,0,41,2,1,2,,9,ibu rumah tangga,81,81,,3,CBC3_1618573147_0,"1,2",9,9,5,9,15,5,,,,,,12,10,8,7,38,8,5,10,4,5,4,11,9,13,4,5,10,11,7,9,39,12,4,9,6,7,8,12,9,6,2,10,6,7,21,6
4,17 Dec 2021 - 18:50:52 CET,17 Dec 2021 - 18:57:54 CET,0h 7m 2s,0h 7m 2s,1639763452,1639763874,1,5,,Terminate,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Safari/537.36 HeyTapBrowser/15.8.2.1",Linux,HeyTapBrowser 15.8.2.1,114.79.5.125,360,,1,2,2,,0,0,0,0,0,1,,1,300000,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,5,5,5,5,5,5,5,5,2,4,5,5,5,1,5,7,1,4,31,79,81,100,0,0,31,1,7,1,,5,,81,81,Apa tujuan akir dari survei ini,,,"1,2",8,11,5,,8,9,20,,,,,13,,,,,,,,,,,,,,,,,,17,10,94,15,16,10,23,11,9,10,15,12,5,19,9,9,38,34
5,17 Dec 2021 - 18:52:13 CET,17 Dec 2021 - 18:58:13 CET,0h 6m 0s,0h 5m 56s,1639763533,1639763893,1,5,,Terminate,1,"Mozilla/5.0 (Linux; U; Android 10; zh-CN; itel L6502 Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.108 HiBrowser/2.1.105 UWS/ Mobile Safari/537.36",Android 10,UWS,2001:448a:1065:14ed:a8b1:bf03:722e:4fb8,360,,1,1,1,3,1,1,1,1,0,0,,,,2,,1,500000,1,1,2,2,1,1,2,14,5,,4,5,5,5,2,,2,,4,4,3,1,1,1,1,1,1,1,1,0,0,,,,3,5,5,5,5,4,3,5,5,4,4,5,5,4,5,7,1,2,67,64,100,76,78,0,41,1,3,5,,5,,81,81,Saya sangat setuju tentang koral dilestarikan dan dibudidayakan,5,CBC3_1618573147_0,"2,1",5,9,5,7,11,,,8,,6,12,9,5,3,4,2,20,7,4,4,3,5,12,11,13,7,6,7,18,,,35,4,6,5,10,2,3,3,5,8,4,10,5,7,28,23
6,17 Dec 2021 - 19:06:33 CET,17 Dec 2021 - 19:15:29 CET,0h 8m 56s,0h 8m 54s,1639764393,1639764929,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 9; Infinix X626B LTE) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Mobile Safari/537.36 EdgA/96.0.1054.53",Android 9,EdgA 96.0.1054.53,139.195.15.217,360,,1,1,1,1,0,0,1,0,0,0,,2,,3,4,,,1,2,2,1,1,1,1,2,2,,5,5,5,5,3,,4,,3,3,3,1,1,1,1,1,1,1,1,0,0,,,,4,4,4,4,4,4,4,4,5,4,5,5,5,5,5,7,1,2,50,45,72,49,5,0,46,2,2,4,,6,,81,81,,6,CBC3_1618573147_0,"2,1",6,12,6,10,13,7,,24,13,,,9,9,19,22,4,21,19,8,7,12,4,15,16,13,19,27,20,16,,,39,8,9,7,16,13,13,14,12,11,4,5,5,9,18,6
7,17 Dec 2021 - 19:47:47 CET,17 Dec 2021 - 20:00:51 CET,0h 13m 4s,0h 13m 4s,1639766867,1639767651,1,5,,Terminate,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Safari/537.36 HeyTapBrowser/15.8.2.1",Linux,HeyTapBrowser 15.8.2.1,36.65.89.70,360,,1,1,2,,1,1,1,0,0,0,,1,,3,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,4,4,3,4,4,3,3,4,4,5,3,3,6,2,1,62,59,57,61,,1,45,1,8,7,,4,,81,81,,,,"2,1",47,28,16,,26,10,21,40,25,,,26,,,,,,,,,,,,,,,,,,,,162,40,15,32,58,32,36,29,13,29,6,18,18,36,35,33
8,17 Dec 2021 - 20:22:00 CET,17 Dec 2021 - 20:29:30 CET,0h 7m 30s,0h 7m 29s,1639768920,1639769370,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 11; SM-A105G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36",Android 11,Chrome 96.0.4664.104,202.80.219.40,412,,1,1,2,,1,1,0,0,0,0,,2,,4,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,4,3,5,3,2,3,3,2,2,3,3,3,6,1,2,100,72,71,52,39,0,50,1,2,4,,2,,81,81,,,,"2,1",5,16,9,,17,9,,27,32,,,15,,,,,,,,,,,,,,,,,,,,96,15,19,24,18,10,11,30,18,10,5,11,6,10,32,9
9,17 Dec 2021 - 21:22:33 CET,17 Dec 2021 - 23:41:04 CET,2h 18m 31s,2h 39m 53s,1639772553,1639780864,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 7.1.1; CPH1717) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36",Android 7.1.1,Chrome 96.0.4664.104,36.69.88.28,360,,1,1,1,2,1,1,0,0,0,0,,1,200000,4,3,,,1,3,3,3,3,3,3,21,7,,4,3,4,3,3,,1,,3,3,3,1,0,0,0,0,0,1,0,0,0,,,,4,4,5,5,4,4,4,4,4,3,4,4,4,3,4,5,1,1,51,31,56,65,59,0,48,2,3,2,,9,Ibu rumah tangga,81,81,,9,CBC3_1618573147_0,"2,1",7,10,11,10,24,9,26,23,15,,,8,4,9,15,5,23,14,26,7,18,8,11,25,26,15,15,22,16,,,56,12,12,10,19,10,10,12,13,8,688,7454,6,22,28,9
10,17 Dec 2021 - 21:28:07 CET,17 Dec 2021 - 21:51:13 CET,0h 23m 6s,0h 23m 1s,1639772887,1639774273,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 11; SM-A025F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36",Android 11,Chrome 96.0.4664.104,180.254.251.96,412,,1,1,1,2,1,0,0,0,0,0,,1,100000,4,3,,,1,1,1,1,2,2,1,9,1,,1,5,1,5,3,,4,,4,4,4,1,1,0,0,0,1,0,0,0,0,,,,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,7,1,1,100,100,100,100,,1,53,1,2,6,Diploma D3,1,,81,81,Sangat bagus dan realistis,10,CBC3_1618573147_0,"2,1",9,9,23,38,40,12,23,27,39,,,11,10,25,61,18,23,32,75,30,69,12,38,37,72,48,83,30,50,,,106,28,11,11,30,13,9,28,22,14,7,23,30,27,47,40
