sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,Agreement,Q0,Q1,Q1a,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_5_other,firstQ4,Q4a1,firstQ3,firstQ3a,secondQ4,Q4a,Q5,CBC_Random1,CBC_Random3,CBC_Random4,CBC_Random5,CBC_Random6,CBC_Random2,WTP,Q12,Q12_8_other,Q13toQ16_r1,Q13toQ16_r2,Q13toQ16_r3,Q13toQ16_r4,Q17,Q17_4_other,Q18,Q18_5_other,Q991,Q992,Q993,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_9_other,secondQ3,secondQ3a,Q20toQ34_r1,Q20toQ34_r2,Q20toQ34_r3,Q20toQ34_r4,Q20toQ34_r5,Q20toQ34_r6,Q20toQ34_r7,Q20toQ34_r8,Q20toQ34_r9,Q20toQ34_r10,Q20toQ34_r11,Q20toQ34_r12,Q20toQ34_r13,Q20toQ34_r14,Q20toQ34_r15,Q37,Documentaries,Optimism,Q41_1,Q42_1,Q43_1,Q45_1,Q46_1,Prefernottosay_1,Q47,Q48,Q49,Q50,Q50_6_other,Q51,Q51_9_other,Q52,Q53,Comments,sys_CBCVersion_CBC,sys_CBCDesignID_CBC,sys_block_set_1,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17,sys_pagetime_18,sys_pagetime_19,sys_pagetime_20,sys_pagetime_21,sys_pagetime_22,sys_pagetime_23,sys_pagetime_24,sys_pagetime_25,sys_pagetime_26,sys_pagetime_27,sys_pagetime_28,sys_pagetime_29,sys_pagetime_30,sys_pagetime_31,sys_pagetime_32,sys_pagetime_33,sys_pagetime_34,sys_pagetime_35,sys_pagetime_36,sys_pagetime_37,sys_pagetime_38,sys_pagetime_39,sys_pagetime_40,sys_pagetime_41,sys_pagetime_42,sys_pagetime_43,sys_pagetime_44,sys_pagetime_45,sys_pagetime_46,sys_pagetime_47
1,17 Dec 2021 - 18:46:39 CET,17 Dec 2021 - 18:49:06 CET,0h 2m 27s,0h 2m 26s,1639763199,1639763346,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,2001:ce8:117:1354:f4f4:80f6:676:3640,1400,,1,1,2,,0,0,0,0,0,1,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,2,2,2,2,2,2,2,2,4,5,2,2,2,2,2,6,2,3,10,0,4,84,50,0,49,2,1,2,,2,,88,88,,,,"1,2",5,5,4,,4,4,,,,,,2,,,,,,,,,,,,,,,,,,6,6,19,5,3,3,5,5,5,15,8,6,1,3,3,1,31,2
2,17 Dec 2021 - 19:15:09 CET,17 Dec 2021 - 19:18:34 CET,0h 3m 25s,0h 3m 24s,1639764909,1639765114,1,5,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_8_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1",,Safari 604.1,175.177.44.219,375,,1,2,1,1,0,0,1,0,0,0,,2,,3,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,3,3,3,3,3,3,4,2,2,2,2,2,5,2,2,60,33,45,100,66,0,50,1,4,4,,1,,88,88,,,,"2,1",6,4,5,5,11,4,,7,4,,,4,,,,,,,,,,,,,,,,,,,,37,7,3,5,4,9,6,14,7,4,3,6,4,4,45,2
3,17 Dec 2021 - 19:17:48 CET,17 Dec 2021 - 19:21:27 CET,0h 3m 39s,0h 3m 36s,1639765068,1639765287,1,5,,Terminate,1,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:56.0) Gecko/20100101 Firefox/56.0,Windows 10.0,Firefox 56.0,2400:4152:8444:9200:61cc:3702:b4cd:9e83,1536,,1,1,1,3,1,1,1,1,0,0,,1,3000,,,,,1,1,2,1,1,2,2,14,4,,2,3,4,5,2,,3,,3,3,3,0,1,0,0,1,0,0,0,0,0,,4,4,2,2,3,3,3,4,4,4,4,4,4,4,5,5,5,4,2,3,89,2,69,65,22,0,33,2,5,4,,1,,1,1,,3,CBC3_1618573147_0,"1,2",63,4,4,3,6,5,8,,,,,4,3,2,4,3,8,5,4,3,3,4,5,3,5,3,3,5,3,3,2,11,3,3,3,3,5,4,3,5,11,4,3,2,3,45,3
4,17 Dec 2021 - 19:47:14 CET,17 Dec 2021 - 19:50:05 CET,0h 2m 51s,0h 2m 51s,1639766834,1639767005,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 11; SHG03) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36",Android 11,Chrome 96.0.4664.104,58.87.192.167,393,,1,2,2,,0,0,0,0,0,1,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,4,56,39,44,43,,1,69,1,8,7,,10,,88,88,,,,"1,2",7,9,6,,6,5,,,,,,3,,,,,,,,,,,,,,,,,,10,3,32,5,6,6,4,2,4,2,4,6,4,4,3,5,36,6
5,17 Dec 2021 - 20:04:55 CET,17 Dec 2021 - 20:12:38 CET,0h 7m 43s,0h 8m 11s,1639767895,1639768358,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 6.0.1; HUAWEI VNS-L52) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Mobile Safari/537.36",Android 6.0.1,Chrome 84.0.4147.89,36.11.224.35,360,,1,1,1,4,0,1,1,0,0,0,,2,,4,5,,,1,1,1,1,2,2,1,7,2,,4,4,4,5,2,,1,,3,3,2,1,0,0,0,1,1,0,0,0,0,,,,4,3,4,3,3,3,3,3,3,2,3,2,4,1,3,5,2,3,58,74,53,62,32,0,42,1,3,3,,1,,88,88,非常に勉強になりました,5,CBC3_1618573147_0,"2,1",401,8,5,11,13,5,,9,7,,,8,9,17,15,8,15,11,8,7,5,5,10,13,14,11,23,18,15,,,44,12,5,11,42,7,10,9,6,10,4,3,5,4,23,11
6,17 Dec 2021 - 20:28:03 CET,17 Dec 2021 - 20:45:27 CET,0h 17m 24s,0h 17m 23s,1639769283,1639770327,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.57",Windows 10.0,Edg 96.0.1054.57,126.36.10.60,1366,,1,3,2,,0,0,0,0,0,1,,,,1,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,52,50,50,50,80,0,43,1,8,5,,6,,88,88,,,,"2,1",115,7,13,,290,,,154,,170,,39,,,,,,,,,,,,,,,,,,,,13,5,254,13,4,2,2,4,8,6,3,3,11,3,34,5
7,17 Dec 2021 - 20:34:16 CET,17 Dec 2021 - 20:39:31 CET,0h 5m 15s,0h 5m 12s,1639769656,1639769971,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,36.11.228.161,1366,,1,1,2,,0,0,0,0,0,1,,2,,3,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,3,5,3,2,3,1,3,2,2,3,5,3,2,3,34,31,50,8,50,0,59,2,1,2,,2,,88,88,,,,"2,1",8,9,8,,5,5,,19,9,,,7,,,,,,,,,,,,,,,,,,,,65,16,7,8,12,17,10,20,10,9,4,4,5,5,53,5
8,17 Dec 2021 - 20:38:41 CET,17 Dec 2021 - 20:50:17 CET,0h 11m 36s,0h 11m 35s,1639769921,1639770617,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.57",Windows 10.0,Edg 96.0.1054.57,126.36.10.60,1366,,1,3,2,,0,0,0,0,0,1,,,,1,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,5,3,3,3,3,3,3,3,3,3,3,3,4,3,3,50,50,50,50,89,0,43,1,8,5,,6,,88,88,,,,"2,1",168,4,15,,4,,,4,,32,,354,,,,,,,,,,,,,,,,,,,,42,150,5,8,1,2,4,0,5,6,2,2,5,4,44,2
9,17 Dec 2021 - 20:45:27 CET,17 Dec 2021 - 20:47:21 CET,0h 1m 54s,0h 1m 52s,1639770327,1639770441,1,2,,Q20toQ34,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.57",Windows 10.0,Edg 96.0.1054.57,126.141.160.130,1280,,1,1,2,,0,0,0,0,0,1,,2,,4,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,1",11,25,4,,12,19,,23,17,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,17 Dec 2021 - 21:35:21 CET,17 Dec 2021 - 21:37:25 CET,0h 2m 4s,0h 2m 4s,1639773321,1639773445,1,5,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Mobile/15E148 Safari/604.1",,Safari 604.1,2001:268:921a:349:e5e2:2fbe:cc44:c334,414,,1,2,2,,0,0,0,0,0,1,,2,,3,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,3,3,2,4,4,4,2,2,2,2,2,5,2,2,56,55,60,66,60,0,29,2,2,4,,1,,88,88,,,,"2,1",5,3,4,,2,5,,3,5,,,1,,,,,,,,,,,,,,,,,,,,22,3,4,3,3,3,7,2,5,4,2,6,3,2,30,2
