sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,Agreement,Q0,Q1,Q1a,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_5_other,firstQ4,Q4a1,firstQ3,firstQ3a,secondQ4,Q4a,Q5,CBC_Random1,CBC_Random3,CBC_Random4,CBC_Random5,CBC_Random6,CBC_Random2,WTP,Q12,Q12_8_other,Q13toQ16_r1,Q13toQ16_r2,Q13toQ16_r3,Q13toQ16_r4,Q17,Q17_4_other,Q18,Q18_5_other,Q991,Q992,Q993,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_9_other,secondQ3,secondQ3a,Q20toQ34_r1,Q20toQ34_r2,Q20toQ34_r3,Q20toQ34_r4,Q20toQ34_r5,Q20toQ34_r6,Q20toQ34_r7,Q20toQ34_r8,Q20toQ34_r9,Q20toQ34_r10,Q20toQ34_r11,Q20toQ34_r12,Q20toQ34_r13,Q20toQ34_r14,Q20toQ34_r15,Q37,Documentaries,Optimism,Q41_1,Q42_1,Q43_1,Q45_1,Q46_1,Prefernottosay_1,Q47,Q48,Q49,Q50,Q50_6_other,Q51,Q51_9_other,Q52,Q53,Comments,sys_CBCVersion_CBC,sys_CBCDesignID_CBC,sys_block_set_1,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17,sys_pagetime_18,sys_pagetime_19,sys_pagetime_20,sys_pagetime_21,sys_pagetime_22,sys_pagetime_23,sys_pagetime_24,sys_pagetime_25,sys_pagetime_26,sys_pagetime_27,sys_pagetime_28,sys_pagetime_29,sys_pagetime_30,sys_pagetime_31,sys_pagetime_32,sys_pagetime_33,sys_pagetime_34,sys_pagetime_35,sys_pagetime_36,sys_pagetime_37,sys_pagetime_38,sys_pagetime_39,sys_pagetime_40,sys_pagetime_41,sys_pagetime_42,sys_pagetime_43,sys_pagetime_44,sys_pagetime_45,sys_pagetime_46,sys_pagetime_47
1,17 Dec 2021 - 18:13:03 CET,17 Dec 2021 - 18:13:03 CET,0h 0m 0s,0h 0m 0s,1639761183,1639761183,1,4,,TERMINATEEARLY,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,2409:4072:6d89:2048:b961:50f8:cfa8:e9bc,1280,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,17 Dec 2021 - 18:30:47 CET,17 Dec 2021 - 18:40:08 CET,0h 9m 21s,0h 9m 18s,1639762247,1639762808,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 10; M2006C3MG Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/96.0.4664.45 Mobile Safari/537.36",Android 10,Chrome 96.0.4664.45,197.182.253.7,360,,1,1,1,4,0,1,0,0,0,0,,1,2500,4,4,,,1,2,2,2,1,1,1,12,5,,4,4,4,4,2,,2,,3,3,3,1,0,1,0,0,0,0,1,0,0,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,2,4,61,59,60,61,70,0,26,2,1,4,,6,,91,91,It was lengthy,2,CBC3_1618573147_0,"2,1",11,9,6,9,13,6,17,13,10,,,5,11,73,13,35,23,8,5,5,8,5,11,15,16,55,8,9,11,,,31,20,4,6,7,7,3,4,7,5,4,11,6,11,23,10
3,17 Dec 2021 - 18:30:52 CET,17 Dec 2021 - 18:46:46 CET,0h 15m 54s,0h 15m 53s,1639762252,1639763206,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 10; SM-A115F Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/96.0.4664.104 Mobile Safari/537.36",Android 10,Chrome 96.0.4664.104,196.200.32.140,412,,1,1,2,,0,1,1,1,0,0,,1,200,,,,,1,1,2,1,1,2,2,11,1,,5,5,5,5,3,,1,,4,4,1,1,0,0,1,1,1,1,1,0,0,,3,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,1,1,99,98,100,100,98,0,44,2,3,4,,2,,91,91,A nice one.,3,CBC3_1618573147_0,"1,2",7,14,9,,28,8,17,,,,,13,22,29,109,48,16,16,12,13,28,36,39,14,26,20,30,47,41,24,16,62,20,8,9,15,10,11,41,12,7,4,17,6,7,32,17
4,17 Dec 2021 - 18:31:09 CET,17 Dec 2021 - 18:42:18 CET,0h 11m 9s,0h 11m 7s,1639762269,1639762938,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 10; NEON RAY 2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Mobile Safari/537.36",Android 10,Chrome 81.0.4044.138,105.51.4.13,320,,1,1,2,,0,0,1,0,0,0,,2,,,,,,1,1,1,3,1,1,1,11,1,,5,4,4,4,1,,1,,3,3,4,1,0,0,0,0,0,0,0,0,0,,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,1,1,93,90,86,79,18,0,46,1,3,3,,1,,91,91,It was great,4,CBC3_1618573147_0,"1,2",9,15,6,,9,6,,,,,,6,5,4,8,3,14,11,9,9,17,8,14,8,16,12,39,12,39,82,14,57,81,47,4,16,3,3,3,15,8,3,13,6,9,22,11
5,17 Dec 2021 - 18:31:12 CET,17 Dec 2021 - 18:44:11 CET,0h 12m 59s,0h 12m 57s,1639762272,1639763051,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 10; RMX2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.99 Mobile Safari/537.36",Android 10,Chrome 80.0.3987.99,105.164.96.51,360,,1,2,2,,0,0,0,0,0,1,,2,,4,6,,,1,2,2,1,1,3,2,3,6,,4,4,4,3,3,,1,,3,3,3,1,0,0,1,1,0,1,0,0,0,,,,5,4,4,5,5,4,5,5,5,4,5,5,5,5,5,6,2,1,66,71,83,20,28,0,,2,1,3,,1,,91,91,It was okay,5,CBC3_1618573147_0,"2,1",11,13,15,,17,8,,22,14,,,16,12,15,16,22,31,19,19,13,11,17,20,14,36,16,11,29,28,,,74,15,10,17,24,9,12,16,18,11,6,14,14,19,70,14
6,17 Dec 2021 - 18:31:37 CET,17 Dec 2021 - 18:46:34 CET,0h 14m 57s,0h 14m 55s,1639762297,1639763194,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 11; TECNO KF7j) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36",Android 11,Chrome 96.0.4664.104,154.158.209.230,360,,1,1,2,,0,1,1,0,0,0,,2,,4,6,,,1,1,1,2,1,1,1,14,5,,1,4,4,5,3,,3,,4,4,4,1,1,1,1,1,1,1,0,0,0,,,,5,5,5,5,5,3,2,5,5,4,5,2,5,5,5,7,1,3,100,41,87,48,44,0,26,2,1,4,,6,,91,91,Very interesting survey,6,CBC3_1618573147_0,"2,1",35,103,10,,18,6,,10,9,,,5,75,92,35,46,31,24,32,8,28,10,26,13,17,14,35,9,22,,,49,14,5,7,14,12,10,26,10,6,4,9,4,6,27,14
7,17 Dec 2021 - 18:32:07 CET,17 Dec 2021 - 19:00:42 CET,0h 28m 35s,0h 30m 6s,1639762327,1639764042,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 9; JKM-LX1 Build/HUAWEIJKM-LX1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/91.0.4472.120 Mobile Safari/537.36",Android 9,Chrome 91.0.4472.120,197.156.137.129,424,,1,1,1,2,1,0,1,0,0,0,,2,,3,4,,,1,2,2,1,2,1,2,15,1,,5,4,4,4,3,,2,,4,3,4,1,1,1,1,1,0,1,0,0,0,,,,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,6,2,2,88,81,82,99,,1,28,2,2,4,,4,,91,91,It was fun and great. Learnt alot,7,CBC3_1618573147_0,"2,1",62,448,44,97,23,7,,22,26,,,8,45,101,99,109,57,30,16,32,10,9,30,19,24,32,22,33,17,,,74,13,11,15,47,54,18,33,13,11,4,22,7,12,22,43
8,17 Dec 2021 - 18:32:20 CET,17 Dec 2021 - 18:42:37 CET,0h 10m 17s,0h 10m 15s,1639762340,1639762957,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 11; TECNO KF6i) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",Android 11,Chrome 87.0.4280.141,41.81.157.160,360,,1,1,2,,0,1,0,0,0,0,,2,,4,4,,,1,2,1,2,2,1,1,10,1,,1,1,1,1,1,,1,,4,1,4,1,0,0,0,1,0,0,0,0,0,,,,5,5,5,3,3,3,5,5,5,5,5,5,5,5,5,1,1,1,98,92,100,97,93,0,25,2,1,4,,4,,91,91,,8,CBC3_1618573147_0,"2,1",24,12,8,,24,10,,23,9,,,17,36,21,24,6,24,13,7,6,6,4,12,10,34,5,5,15,19,,,52,11,8,6,20,6,10,55,11,7,5,16,15,12,23,8
9,17 Dec 2021 - 18:33:27 CET,17 Dec 2021 - 18:47:09 CET,0h 13m 42s,0h 13m 40s,1639762407,1639763229,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 11; TECNO CG6 Build/RP1A.200720.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/87.0.4280.141 Mobile Safari/537.36",Android 11,Chrome 87.0.4280.141,154.159.238.4,360,,1,1,2,,0,1,1,0,0,0,,1,10000,4,3,,,1,2,1,1,2,1,1,16,3,,5,5,5,5,2,,2,,4,4,4,1,1,1,1,1,1,1,1,0,0,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,1,1,100,100,100,100,9,0,26,1,3,4,,2,,91,91,"Awesome survey, we have to do what it takes to conserve our surroundings at large",9,CBC3_1618573147_0,"2,1",15,13,6,,14,5,8,18,10,,,6,29,60,71,87,30,9,21,14,15,17,13,13,14,14,19,12,20,,,61,19,7,8,16,8,12,16,10,5,3,13,5,6,19,74
10,17 Dec 2021 - 18:33:30 CET,17 Dec 2021 - 18:42:47 CET,0h 9m 17s,0h 9m 12s,1639762410,1639762967,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 8.1.0; TECNO F1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.74 Mobile Safari/537.36",Android 8.1.0,Chrome 95.0.4638.74,154.159.238.101,320,,1,1,1,2,1,1,1,0,0,0,,1,,4,6,,,1,2,2,2,2,2,2,15,1,,4,4,4,4,2,,2,,3,3,3,1,0,1,1,1,1,1,1,0,0,,,,4,4,4,4,5,4,4,4,4,3,4,4,4,3,4,6,1,2,77,71,86,73,82,0,,1,5,5,,1,,91,91,,10,CBC3_1618573147_0,"2,1",9,5,7,9,9,6,8,11,16,,,4,6,47,49,4,11,15,16,18,16,12,9,11,19,13,12,24,23,,,38,10,5,7,8,7,8,7,7,8,4,19,5,5,30,4
