sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,Agreement,Q0,Q1,Q1a,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_5_other,firstQ4,Q4a1,firstQ3,firstQ3a,secondQ4,Q4a,Q5,CBC_Random1,CBC_Random3,CBC_Random4,CBC_Random5,CBC_Random6,CBC_Random2,WTP,Q12,Q12_8_other,Q13toQ16_r1,Q13toQ16_r2,Q13toQ16_r3,Q13toQ16_r4,Q17,Q17_4_other,Q18,Q18_5_other,Q991,Q992,Q993,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_9_other,secondQ3,secondQ3a,Q20toQ34_r1,Q20toQ34_r2,Q20toQ34_r3,Q20toQ34_r4,Q20toQ34_r5,Q20toQ34_r6,Q20toQ34_r7,Q20toQ34_r8,Q20toQ34_r9,Q20toQ34_r10,Q20toQ34_r11,Q20toQ34_r12,Q20toQ34_r13,Q20toQ34_r14,Q20toQ34_r15,Q37,Documentaries,Optimism,Q41_1,Q42_1,Q43_1,Q45_1,Q46_1,Prefernottosay_1,Q47,Q48,Q49,Q50,Q50_6_other,Q51,Q51_9_other,Q52,Q53,Comments,sys_CBCVersion_CBC,sys_CBCDesignID_CBC,sys_block_set_1,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17,sys_pagetime_18,sys_pagetime_19,sys_pagetime_20,sys_pagetime_21,sys_pagetime_22,sys_pagetime_23,sys_pagetime_24,sys_pagetime_25,sys_pagetime_26,sys_pagetime_27,sys_pagetime_28,sys_pagetime_29,sys_pagetime_30,sys_pagetime_31,sys_pagetime_32,sys_pagetime_33,sys_pagetime_34,sys_pagetime_35,sys_pagetime_36,sys_pagetime_37,sys_pagetime_38,sys_pagetime_39,sys_pagetime_40,sys_pagetime_41,sys_pagetime_42,sys_pagetime_43,sys_pagetime_44,sys_pagetime_45,sys_pagetime_46,sys_pagetime_47
1,17 Dec 2021 - 18:36:18 CET,17 Dec 2021 - 18:42:26 CET,0h 6m 8s,0h 6m 6s,1639762578,1639762946,1,5,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Mobile/15E148 Safari/604.1",,Safari 604.1,2a02:a213:2802:e400:1d80:e023:62d7:3ea6,375,,1,2,2,,0,0,0,0,0,1,,1,40,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,5,5,5,5,5,5,4,4,3,3,4,4,4,4,3,5,2,3,60,28,63,30,23,1,65,1,4,6,Hbo,6,,126,126,Geen opmerkingen,,,"1,2",6,7,4,,11,7,7,,,,,9,,,,,,,,,,,,,,,,,,12,18,78,18,10,17,10,7,14,16,18,5,3,11,22,13,34,15
2,17 Dec 2021 - 18:37:55 CET,17 Dec 2021 - 18:44:06 CET,0h 6m 11s,0h 6m 5s,1639762675,1639763046,1,5,,Terminate,1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:95.0) Gecko/20100101 Firefox/95.0,Windows 10.0,Firefox 95.0,2001:980:3fa7:1:58d1:fef:54db:e751,1920,,1,2,2,,0,0,0,0,0,1,,1,120,4,6,,,1,1,1,1,1,2,2,12,5,,3,4,4,3,3,,2,,2,2,2,1,1,1,1,1,1,1,1,0,0,,,,5,5,4,3,3,2,1,2,3,3,3,2,3,4,3,6,3,3,67,34,98,41,42,0,45,1,8,4,,1,,126,126,,2,CBC3_1618573147_0,"2,1",4,6,3,,6,4,5,7,4,,,10,3,3,12,2,17,16,10,9,17,34,12,6,16,4,6,28,11,,,41,6,5,3,6,3,8,6,4,6,2,2,6,2,12,2
3,17 Dec 2021 - 18:38:14 CET,17 Dec 2021 - 18:43:18 CET,0h 5m 4s,0h 5m 2s,1639762694,1639762998,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,2a02:a447:8c1:1:a4ea:b5e6:f481:fb75,1366,,1,2,2,,0,0,0,0,0,1,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,3,2,3,2,3,4,4,3,2,2,4,3,3,3,4,2,3,51,52,50,52,41,0,52,2,3,2,,10,,126,126,,,,"1,2",5,6,3,,10,5,,,,,,6,,,,,,,,,,,,,,,,,,14,8,92,9,7,7,10,12,17,19,10,6,4,8,6,15,24,4
4,17 Dec 2021 - 18:41:10 CET,17 Dec 2021 - 18:50:34 CET,0h 9m 24s,0h 9m 18s,1639762870,1639763434,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,85.148.6.46,1536,,1,2,2,,0,0,1,0,0,0,,1,100,,,,,1,1,2,1,1,1,2,11,2,,3,4,4,2,1,,2,,3,3,4,1,1,1,1,1,1,1,1,0,0,,3,4,4,5,5,3,5,2,4,3,3,2,2,3,5,4,3,5,1,3,59,84,69,64,27,0,19,2,1,3,,8,,144,126,,4,CBC3_1618573147_0,"1,2",13,6,4,,9,4,5,,,,,8,8,7,14,13,40,20,21,10,17,14,6,8,12,6,7,12,19,10,7,42,25,7,80,8,13,16,14,5,6,8,4,6,5,27,5
5,17 Dec 2021 - 18:41:13 CET,17 Dec 2021 - 18:50:23 CET,0h 9m 10s,0h 9m 7s,1639762873,1639763423,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,2a02:a213:2a82:e380:9dc8:5913:8439:2264,1600,,1,2,2,,0,0,0,0,0,1,,2,,4,5,,,1,1,1,1,1,2,1,3,8,wat ik kan doneren,4,4,4,5,2,,1,,4,4,4,1,1,1,0,0,0,1,0,0,0,,,,4,4,5,5,5,4,4,4,4,3,4,4,4,5,4,5,3,3,67,64,64,61,65,0,59,2,3,6,mbo,9,huisvrouw,126,126,,5,CBC3_1618573147_0,"2,1",6,7,4,,9,5,,10,8,,,5,8,21,64,9,19,22,15,15,19,15,18,23,15,11,18,14,11,,,31,6,6,6,11,9,12,16,8,5,4,6,16,17,25,4
6,17 Dec 2021 - 18:42:39 CET,17 Dec 2021 - 18:47:36 CET,0h 4m 57s,0h 4m 56s,1639762959,1639763256,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.57",Windows 10.0,Edg 96.0.1054.57,2a02:a45c:6e20:1:942a:3e45:21bd:6550,1536,,1,2,2,,0,0,0,0,0,1,,,,2,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,4,5,5,4,3,3,3,4,3,3,4,3,3,41,1,0,80,,1,67,2,8,2,,7,,126,126,,,,"2,1",8,6,6,,8,,,9,,8,7,11,,,,,,,,,,,,,,,,,,,,74,12,10,10,12,13,15,14,10,10,3,6,5,6,39,2
7,17 Dec 2021 - 18:43:36 CET,17 Dec 2021 - 18:45:48 CET,0h 2m 12s,0h 2m 12s,1639763016,1639763148,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,2a02:f6d:e11f:0:8540:be67:b40d:c91,1536,,1,2,2,,0,0,0,0,0,1,,,,2,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,50,19,50,51,50,0,57,2,4,2,,1,,126,126,,,,"2,1",4,5,4,,4,,,3,,3,,4,,,,,,,,,,,,,,,,,,,,19,5,4,5,3,7,7,8,4,6,3,4,5,3,23,3
8,17 Dec 2021 - 18:44:13 CET,17 Dec 2021 - 18:54:09 CET,0h 9m 56s,0h 9m 54s,1639763053,1639763649,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.57",Windows 10.0,Edg 96.0.1054.57,62.194.195.37,800,,1,2,2,,0,0,0,0,0,1,,2,,4,7,,,1,3,2,2,2,2,1,7,1,,4,4,4,4,2,,2,,4,4,4,1,1,1,0,0,0,0,0,0,0,,,,3,3,2,3,3,3,3,2,2,2,2,2,2,2,1,7,2,2,62,58,72,70,44,0,30,1,5,4,,1,,126,126,,8,CBC3_1618573147_0,"2,1",5,5,2,,10,7,,10,18,,,6,35,14,17,2,27,10,6,7,14,7,6,13,12,8,35,25,60,,,70,61,11,9,8,5,5,11,10,6,2,8,4,4,21,3
9,17 Dec 2021 - 18:44:59 CET,17 Dec 2021 - 18:49:29 CET,0h 4m 30s,0h 4m 30s,1639763099,1639763369,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 9; G8341 Build/47.2.A.11.228; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/96.0.4664.104 Mobile Safari/537.36 EdgW/1.0",Android 9,EdgW 1.0,2a02:a443:498d:1:54e:e112:c0a6:83b5,360,,1,2,2,,0,0,0,0,0,1,,2,,4,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,4,3,3,4,5,3,5,4,3,4,5,4,4,3,2,4,22,33,49,35,19,0,40,2,2,2,,6,,126,126,,,,"2,1",16,10,4,,9,5,,9,9,,,5,,,,,,,,,,,,,,,,,,,,65,16,5,5,16,12,13,18,9,4,4,6,8,9,25,4
10,17 Dec 2021 - 18:45:24 CET,17 Dec 2021 - 18:50:15 CET,0h 4m 51s,0h 4m 50s,1639763124,1639763415,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 7.0; SM-G950F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36",Android 7.0,Chrome 96.0.4664.104,2001:985:3852:1:90a9:167:5f1c:a0f4,360,,1,2,1,2,0,0,1,0,0,0,,2,,4,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,5,5,3,3,4,4,5,3,4,5,5,4,1,4,31,19,61,20,32,0,58,2,4,4,,2,,126,126,Begin met de enquête te vragen of iemand vrouw is. Daarna de optie man,,,"2,1",17,5,5,7,9,5,,9,8,,,5,,,,,,,,,,,,,,,,,,,,48,13,7,5,10,11,11,6,6,5,4,9,6,10,40,46
