sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,Agreement,Q0,Q1,Q1a,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_5_other,firstQ4,Q4a1,firstQ3,firstQ3a,secondQ4,Q4a,Q5,CBC_Random1,CBC_Random3,CBC_Random4,CBC_Random5,CBC_Random6,CBC_Random2,WTP,Q12,Q12_8_other,Q13toQ16_r1,Q13toQ16_r2,Q13toQ16_r3,Q13toQ16_r4,Q17,Q17_4_other,Q18,Q18_5_other,Q991,Q992,Q993,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_9_other,secondQ3,secondQ3a,Q20toQ34_r1,Q20toQ34_r2,Q20toQ34_r3,Q20toQ34_r4,Q20toQ34_r5,Q20toQ34_r6,Q20toQ34_r7,Q20toQ34_r8,Q20toQ34_r9,Q20toQ34_r10,Q20toQ34_r11,Q20toQ34_r12,Q20toQ34_r13,Q20toQ34_r14,Q20toQ34_r15,Q37,Documentaries,Optimism,Q41_1,Q42_1,Q43_1,Q45_1,Q46_1,Prefernottosay_1,Q47,Q48,Q49,Q50,Q50_6_other,Q51,Q51_9_other,Q52,Q53,Comments,sys_CBCVersion_CBC,sys_CBCDesignID_CBC,sys_block_set_1,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17,sys_pagetime_18,sys_pagetime_19,sys_pagetime_20,sys_pagetime_21,sys_pagetime_22,sys_pagetime_23,sys_pagetime_24,sys_pagetime_25,sys_pagetime_26,sys_pagetime_27,sys_pagetime_28,sys_pagetime_29,sys_pagetime_30,sys_pagetime_31,sys_pagetime_32,sys_pagetime_33,sys_pagetime_34,sys_pagetime_35,sys_pagetime_36,sys_pagetime_37,sys_pagetime_38,sys_pagetime_39,sys_pagetime_40,sys_pagetime_41,sys_pagetime_42,sys_pagetime_43,sys_pagetime_44,sys_pagetime_45,sys_pagetime_46,sys_pagetime_47
1,17 Dec 2021 - 18:43:52 CET,17 Dec 2021 - 18:47:35 CET,0h 3m 43s,0h 3m 42s,1639763032,1639763255,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,125.238.223.212,1177,,1,3,2,,0,0,0,0,0,1,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,4,3,4,3,4,3,3,2,3,3,4,3,4,3,3,4,3,3,50,37,74,63,44,0,57,1,2,4,,10,,127,127,,,,"1,2",20,8,3,,5,3,,,,,,6,,,,,,,,,,,,,,,,,,7,5,56,11,7,8,11,16,9,9,15,6,2,4,4,9,16,2
2,17 Dec 2021 - 18:53:01 CET,17 Dec 2021 - 19:02:28 CET,0h 9m 27s,0h 9m 25s,1639763581,1639764148,1,5,,Terminate,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Mac OS X 10.15.7,Chrome 96.0.4664.110,125.236.135.26,1280,,1,2,2,,1,0,0,0,0,0,,2,,3,3,,,1,2,2,2,1,1,2,10,1,,4,4,5,4,2,,1,,3,4,3,1,1,0,1,0,0,0,0,0,0,,,,3,3,4,5,4,2,3,4,3,2,3,4,4,2,3,5,3,3,41,31,61,66,61,0,49,1,5,5,,4,,127,127,,2,CBC3_1618573147_0,"2,1",12,15,7,,13,5,,17,8,,,7,11,15,29,5,15,18,17,9,13,11,24,21,22,12,21,19,20,,,51,10,8,11,16,8,10,18,24,7,4,6,6,6,22,4
3,17 Dec 2021 - 18:58:21 CET,17 Dec 2021 - 19:02:29 CET,0h 4m 8s,0h 4m 5s,1639763901,1639764149,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,49.227.45.5,1142,,1,2,2,,0,0,0,0,0,1,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,1,1,3,1,1,1,1,1,2,1,3,3,1,1,5,2,4,82,14,69,86,19,0,46,2,4,3,,1,,127,127,,,,"1,2",89,74,32,,6,5,,,,,,2,,,,,,,,,,,,,,,,,,9,5,25,5,3,5,7,5,6,8,6,5,4,4,4,3,19,3
4,17 Dec 2021 - 19:23:55 CET,17 Dec 2021 - 19:32:46 CET,0h 8m 51s,0h 8m 47s,1639765435,1639765966,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.57",Windows 10.0,Edg 96.0.1054.57,101.98.163.213,2394,,1,3,2,,0,0,0,0,0,1,,1,31,,,,,1,1,2,2,1,2,2,6,1,,5,5,5,5,3,,1,,4,4,4,1,1,0,0,1,0,0,1,0,0,,4,6,5,4,5,4,5,3,3,3,2,3,5,5,5,5,5,7,1,2,77,76,96,93,80,0,42,2,6,7,,1,,127,127,"Have not completed a Survey of this type before - Thank you for the opportunity to complete this one and please continue to have more of these, as it does highlight critical issues.",4,CBC3_1618573147_0,"1,2",23,8,6,,9,5,6,,,,,9,15,22,26,7,10,19,5,5,7,9,10,5,13,12,5,14,17,9,8,60,8,6,8,17,5,12,12,10,4,3,4,6,3,18,90
5,17 Dec 2021 - 19:52:15 CET,17 Dec 2021 - 19:54:57 CET,0h 2m 42s,0h 2m 40s,1639767135,1639767297,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,125.237.105.21,1366,,1,2,2,,0,0,0,0,0,1,,2,,3,7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,3,2,3,3,3,3,3,4,4,3,3,4,2,2,45,37,17,81,,1,48,2,8,2,,9,homeduties,127,127,,,,"2,1",9,6,5,,3,4,,7,2,,,4,,,,,,,,,,,,,,,,,,,,18,6,6,5,9,3,9,8,8,6,3,3,5,13,24,3
6,17 Dec 2021 - 19:57:30 CET,17 Dec 2021 - 20:07:00 CET,0h 9m 30s,0h 9m 26s,1639767450,1639768020,1,5,,Terminate,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",Mac OS X 10.15.6,Safari 14.1.2,122.62.133.114,1024,,1,2,2,,0,0,0,0,0,1,,2,,4,5,,,1,1,2,1,1,3,3,7,8,Considered how much money I give to other charities & decided my limit.,3,3,3,3,1,,2,,3,3,3,1,1,0,1,1,1,1,1,0,0,,,,5,4,5,5,5,4,3,3,4,5,5,4,4,4,5,5,3,3,47,39,71,59,60,0,50,2,4,4,,1,,127,127,,6,CBC3_1618573147_0,"2,1",14,9,5,,7,5,,6,10,,,4,10,26,44,35,23,19,9,10,24,10,16,41,8,13,22,25,19,,,42,8,4,9,16,10,9,9,9,6,1,11,5,6,18,3
7,17 Dec 2021 - 20:17:02 CET,17 Dec 2021 - 20:27:50 CET,0h 10m 48s,0h 10m 43s,1639768622,1639769270,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,2404:4402:2757:1600:7517:bb0c:6dfe:7b96,1366,,1,2,1,2,1,0,1,0,0,0,,1,0,3,3,,,1,2,3,2,3,2,3,3,3,,3,4,3,3,2,,3,,2,2,2,1,1,0,0,1,1,1,0,0,0,,,,3,4,2,3,3,4,3,3,4,4,4,3,4,4,3,4,1,2,18,50,57,61,28,0,46,1,3,3,,2,,127,127,"There is so many good causes, and all need money, and all if pointed out are good. But family budgets only go so far and all though this cause is good, so world vision is good, and save the children etc.",7,CBC3_1618573147_0,"2,1",15,10,7,7,10,8,8,10,7,,,8,10,11,9,8,13,9,10,10,8,8,16,24,15,62,12,14,13,,,24,15,14,8,8,7,5,4,4,10,6,5,8,6,35,157
8,17 Dec 2021 - 20:36:22 CET,17 Dec 2021 - 20:48:35 CET,0h 12m 13s,0h 12m 12s,1639769782,1639770515,1,5,,Terminate,1,Mozilla/5.0 (Windows NT 5.1; rv:48.0) Gecko/20100101 Firefox/48.0,Windows XP,Firefox 48.0,115.189.133.242,800,,1,2,2,,0,0,0,0,0,1,,2,,4,6,,,1,2,1,2,1,2,2,10,1,,1,1,1,3,3,,4,,3,3,4,1,1,0,0,1,1,1,1,0,0,,,,4,5,5,5,5,5,3,4,4,4,3,5,5,5,3,2,2,3,32,28,51,20,50,0,58,1,2,1,,6,,127,127,,8,CBC3_1618573147_0,"2,1",9,11,7,,25,8,,13,14,,,10,17,10,15,4,32,19,25,17,16,11,21,18,30,14,19,33,28,,,103,26,12,8,15,11,16,14,13,10,7,8,7,17,39,9
9,17 Dec 2021 - 20:51:18 CET,17 Dec 2021 - 20:56:33 CET,0h 5m 15s,0h 5m 14s,1639770678,1639770993,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,161.29.181.96,1366,,1,3,2,,0,0,1,0,0,0,,2,,4,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,5,5,5,5,4,4,4,4,5,5,4,4,4,2,3,27,72,71,51,17,0,59,2,3,4,,6,,127,127,,,,"2,1",32,51,6,,6,7,,9,11,,,5,,,,,,,,,,,,,,,,,,,,38,48,9,6,26,10,8,8,9,4,4,6,4,11,25,3
10,17 Dec 2021 - 21:07:34 CET,17 Dec 2021 - 21:19:05 CET,0h 11m 31s,0h 11m 29s,1639771654,1639772345,1,5,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Mobile/15E148 Safari/604.1",,Safari 604.1,121.98.53.107,520,,1,3,1,7,1,1,1,1,0,0,,,,1,,2,,1,3,3,3,1,1,2,2,8,Considering my commitment to other causes,5,4,4,5,1,,2,,4,4,2,1,1,1,1,0,1,1,1,0,0,,,,2,3,3,3,2,5,3,3,5,2,5,4,3,3,5,6,3,1,35,64,78,76,63,0,39,2,5,5,,4,,127,127,Would prefer to give with my time to help a conservation effort eg volunteering rather than monetary,10,CBC3_1618573147_0,"2,1",8,15,4,33,14,,,25,,9,,21,8,47,52,11,34,10,5,12,8,8,10,33,23,11,18,17,17,,,68,7,8,11,15,7,7,6,6,7,2,11,5,10,27,47
11,17 Dec 2021 - 21:11:28 CET,17 Dec 2021 - 21:15:58 CET,0h 4m 30s,0h 4m 28s,1639771888,1639772158,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.57",Windows 10.0,Edg 96.0.1054.57,2404:4408:7401:fa00:c510:404b:1ac:f830,1366,,1,2,2,,0,0,0,0,0,1,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,4,4,5,4,2,5,3,3,2,3,5,5,3,3,4,2,2,32,64,64,62,17,0,57,2,2,3,,1,,127,127,,,,"1,2",55,9,5,,13,7,,,,,,7,,,,,,,,,,,,,,,,,,12,8,51,10,18,7,15,8,13,13,10,7,4,6,9,3,29,4
12,17 Dec 2021 - 21:37:15 CET,17 Dec 2021 - 21:45:52 CET,0h 8m 37s,0h 8m 34s,1639773435,1639773952,1,5,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Mobile/15E148 Safari/604.1",,Safari 604.1,2407:7000:a210:7a00:f11c:c8f2:dcef:1e4f,414,,1,1,2,,1,0,0,0,0,0,,2,,,,,,1,2,2,1,2,3,2,5,3,,3,4,4,3,2,,2,,3,3,3,0,1,0,0,1,0,1,0,0,0,,3,3,4,4,4,4,4,3,3,4,4,4,3,4,3,4,3,4,2,2,65,61,43,73,70,0,38,2,5,4,,1,,38,127,,12,CBC3_1618573147_0,"1,2",1480,303,4,,24,5,,,,,,4,5,5,11,2,7,6,5,1,3,2,7,6,7,3,4,4,4,5,5,24,2,6,2,2,3,2,2,3,3,4,7,4,1,15,2
13,17 Dec 2021 - 21:39:21 CET,17 Dec 2021 - 21:42:08 CET,0h 2m 47s,0h 2m 46s,1639773561,1639773728,1,5,,Terminate,1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:95.0) Gecko/20100101 Firefox/95.0,Windows 10.0,Firefox 95.0,121.75.20.48,1368,,1,2,2,,1,0,0,0,0,0,,2,,3,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,3,1,2,5,1,1,1,1,1,1,2,2,1,0,77,50,100,39,0,60,1,6,5,,1,,127,127,,,,"2,1",5,4,3,,6,4,,11,7,,,4,,,,,,,,,,,,,,,,,,,,27,8,4,6,8,10,9,5,8,5,3,4,6,1,20,3
14,17 Dec 2021 - 21:50:27 CET,17 Dec 2021 - 23:25:11 CET,1h 34m 44s,1h 34m 41s,1639774227,1639779911,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 10; SM-G965F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36",Android 10,Chrome 96.0.4664.104,2407:7000:9034:7f00:fc16:9a0d:6bc6:72e4,339,,1,2,2,,0,1,1,0,0,0,,1,50,,,,,1,3,2,1,1,2,2,7,6,,4,3,5,4,3,,4,,3,3,2,1,0,1,1,0,1,1,0,0,0,,4,5,4,3,4,5,4,4,4,5,3,5,3,3,4,4,4,5,1,2,40,84,86,79,77,0,61,1,5,6,Technical college,4,,127,127,,14,CBC3_1618573147_0,"1,2",23,9,6,,14,10,12,,,,,9,289,57,59,5,726,4042,48,13,9,17,11,9,20,12,30,21,26,13,8,51,10,7,5,14,8,9,9,10,9,3,7,25,11,24,4
15,17 Dec 2021 - 21:54:51 CET,17 Dec 2021 - 21:58:10 CET,0h 3m 19s,0h 3m 18s,1639774491,1639774690,1,5,,Terminate,1,"Mozilla/5.0 (X11; CrOS x86_64 14268.67.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.111 Safari/537.36",Chrome OS,Chrome 96.0.4664.111,2406:5a00:acc8:e00:c998:8cbc:2550:7028,1366,,1,2,2,,1,0,1,0,0,0,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,1,1,1,1,1,1,1,3,3,1,1,2,2,1,5,50,10,12,50,0,66,2,2,3,,2,,127,127,,,,"2,1",8,6,6,,9,,,7,,4,,5,,,,,,,,,,,,,,,,,,,,43,8,6,6,10,5,10,13,8,7,3,3,6,5,24,4
16,17 Dec 2021 - 22:00:34 CET,17 Dec 2021 - 22:09:35 CET,0h 9m 1s,0h 8m 58s,1639774834,1639775375,1,5,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/96.0.4664.101 Mobile/15E148 Safari/604.1",,Mobile 15E148,2406:5a00:4805:c800:a9a9:2d64:3992:ffc9,390,,1,3,1,1,0,0,0,0,0,1,,2,,4,4,,,1,2,1,2,1,2,1,21,1,,5,4,5,5,3,,2,,3,3,3,1,1,1,0,1,0,0,0,0,0,,,,4,5,5,4,5,5,3,5,4,1,5,4,3,2,5,7,1,3,73,72,81,100,24,0,26,2,1,4,,1,,8,127,,16,CBC3_1618573147_0,"2,1",10,14,6,6,8,4,,12,14,,,10,5,11,44,12,9,13,9,7,5,9,14,9,17,12,8,29,13,,,52,9,7,13,20,21,9,25,12,12,1,6,8,22,13,8
17,17 Dec 2021 - 22:18:38 CET,17 Dec 2021 - 22:36:25 CET,0h 17m 47s,0h 17m 45s,1639775918,1639776985,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36 Edg/96.0.1054.53",Windows 10.0,Edg 96.0.1054.53,101.98.199.29,1600,,1,3,2,,0,0,0,0,0,1,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,5,4,5,5,4,2,2,2,3,4,4,4,3,4,4,2,3,50,32,87,57,17,0,42,1,5,3,,9,Homemaker,126,127,,,,"1,2",19,24,5,,6,1,,,,,,33,,,,,,,,,,,,,,,,,,45,8,35,38,760,9,26,2,6,7,4,3,2,18,5,11,13,4
18,17 Dec 2021 - 22:32:03 CET,17 Dec 2021 - 23:06:35 CET,0h 34m 32s,0h 34m 31s,1639776723,1639778795,1,5,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/96.0.4664.101 Mobile/15E148 Safari/604.1",,Mobile 15E148,47.72.142.151,375,,1,2,1,2,0,0,1,1,0,0,,2,,,,,,1,2,2,2,2,2,1,5,1,,5,5,4,4,3,,2,,4,3,4,0,0,1,0,0,0,0,0,0,0,,4,5,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5,7,2,2,98,78,72,85,,1,40,2,5,5,,1,,127,127,,18,CBC3_1618573147_0,"1,2",4,5,4,8,1,6,,,,,,4,5,11,27,2,9,4,4,4,4,2,11,8,7,290,6,5,6,5,7,40,46,25,1183,277,5,2,2,3,4,3,3,7,5,18,3
19,17 Dec 2021 - 22:34:25 CET,17 Dec 2021 - 22:51:26 CET,0h 17m 1s,0h 16m 59s,1639776865,1639777886,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.57",Windows 10.0,Edg 96.0.1054.57,2404:4408:4743:9400:7474:afee:75a9:4178,1366,,1,2,2,,0,0,0,0,0,1,,2,,4,4,,,1,1,2,2,1,1,2,5,1,,4,4,4,4,1,,2,,3,3,4,1,0,0,1,1,1,1,0,0,0,,,,3,3,4,4,4,2,3,3,4,1,2,2,4,3,3,5,2,2,72,64,61,67,23,0,64,2,5,4,,2,,127,127,,19,CBC3_1618573147_0,"2,1",43,5,6,,25,6,,15,14,,,8,29,63,67,56,87,41,33,23,33,26,20,22,31,20,24,42,40,,,86,13,8,10,16,14,16,23,8,7,3,9,7,27,33,3
