sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,Agreement,Q0,Q1,Q1a,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_5_other,firstQ4,Q4a1,firstQ3,firstQ3a,secondQ4,Q4a,Q5,CBC_Random1,CBC_Random3,CBC_Random4,CBC_Random5,CBC_Random6,CBC_Random2,WTP,Q12,Q12_8_other,Q13toQ16_r1,Q13toQ16_r2,Q13toQ16_r3,Q13toQ16_r4,Q17,Q17_4_other,Q18,Q18_5_other,Q991,Q992,Q993,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_9_other,secondQ3,secondQ3a,Q20toQ34_r1,Q20toQ34_r2,Q20toQ34_r3,Q20toQ34_r4,Q20toQ34_r5,Q20toQ34_r6,Q20toQ34_r7,Q20toQ34_r8,Q20toQ34_r9,Q20toQ34_r10,Q20toQ34_r11,Q20toQ34_r12,Q20toQ34_r13,Q20toQ34_r14,Q20toQ34_r15,Q37,Documentaries,Optimism,Q41_1,Q42_1,Q43_1,Q45_1,Q46_1,Prefernottosay_1,Q47,Q48,Q49,Q50,Q50_6_other,Q51,Q51_9_other,Q52,Q53,Comments,sys_CBCVersion_CBC,sys_CBCDesignID_CBC,sys_block_set_1,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17,sys_pagetime_18,sys_pagetime_19,sys_pagetime_20,sys_pagetime_21,sys_pagetime_22,sys_pagetime_23,sys_pagetime_24,sys_pagetime_25,sys_pagetime_26,sys_pagetime_27,sys_pagetime_28,sys_pagetime_29,sys_pagetime_30,sys_pagetime_31,sys_pagetime_32,sys_pagetime_33,sys_pagetime_34,sys_pagetime_35,sys_pagetime_36,sys_pagetime_37,sys_pagetime_38,sys_pagetime_39,sys_pagetime_40,sys_pagetime_41,sys_pagetime_42,sys_pagetime_43,sys_pagetime_44,sys_pagetime_45,sys_pagetime_46,sys_pagetime_47
1,17 Dec 2021 - 18:45:08 CET,17 Dec 2021 - 19:03:31 CET,0h 18m 23s,0h 18m 20s,1639763108,1639764211,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 11; SM-A908B Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/96.0.4664.104 Mobile Safari/537.36",Android 11,Chrome 96.0.4664.104,81.152.85.201,412,,1,2,1,1,0,0,1,0,0,0,,2,,,,,,1,3,3,3,2,1,2,13,1,,5,5,5,5,1,,1,,4,4,4,1,1,1,0,1,1,1,1,0,0,,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,1,2,100,93,100,90,36,0,61,1,4,1,,1,,188,188,,1,CBC3_1618573147_0,"1,2",15,7,7,9,82,6,,,,,,5,13,88,33,4,7,5,6,5,6,6,15,14,13,24,13,16,27,24,61,35,27,19,9,16,9,9,23,7,403,3,5,10,3,23,3
2,17 Dec 2021 - 18:58:41 CET,17 Dec 2021 - 19:04:46 CET,0h 6m 5s,0h 6m 3s,1639763921,1639764286,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.57",Windows 10.0,Edg 96.0.1054.57,2a02:c7e:1e01:4200:3d23:34c3:b27:38db,1536,,1,2,2,,0,0,0,0,0,1,,2,,4,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,3,3,1,3,3,3,2,1,3,3,3,1,1,2,3,4,2,50,22,56,0,66,1,3,2,,7,,188,188,,,,"2,1",8,17,6,,17,10,,8,48,,,11,,,,,,,,,,,,,,,,,,,,102,11,11,15,5,5,9,11,11,7,5,5,6,10,28,5
3,17 Dec 2021 - 19:05:44 CET,17 Dec 2021 - 19:05:44 CET,0h 0m 0s,0h 0m 0s,1639764344,1639764344,1,4,,TERMINATEEARLY,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,2a00:23c7:6110:a301:acc2:f3a0:b2a2:862f,1920,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,17 Dec 2021 - 19:35:49 CET,17 Dec 2021 - 19:41:06 CET,0h 5m 17s,0h 5m 15s,1639766149,1639766466,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 11; SM-T510 Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/96.0.4664.104 Safari/537.36",Android 11,Chrome 96.0.4664.104,2a00:23c4:7080:5201:8d23:97c2:d560:96b3,800,,1,2,2,,0,0,0,0,0,1,,1,10,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,2,2,2,3,3,3,2,3,3,2,3,2,2,2,2,3,29,0,49,57,75,0,69,1,4,1,,7,,188,188,,,,"1,2",9,7,3,,12,4,7,,,,,5,,,,,,,,,,,,,,,,,,14,7,67,14,5,16,13,4,7,36,6,7,3,5,8,4,58,3
5,17 Dec 2021 - 19:53:40 CET,17 Dec 2021 - 19:56:00 CET,0h 2m 20s,0h 2m 19s,1639767220,1639767360,1,5,,Terminate,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:95.0) Gecko/20100101 Firefox/95.0,Mac OS X 10.15,Firefox 95.0,109.249.183.116,1751,,1,2,2,,0,0,0,0,0,1,,2,,4,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,2,2,3,2,2,3,2,3,2,2,2,3,3,2,3,60,28,50,62,,1,50,2,6,5,,1,,188,188,,,,"2,1",36,4,7,,7,1,,6,6,,,6,,,,,,,,,,,,,,,,,,,,14,3,4,29,5,3,0,2,3,8,2,5,3,4,15,2
6,17 Dec 2021 - 20:02:44 CET,17 Dec 2021 - 20:27:10 CET,0h 24m 26s,0h 29m 47s,1639767764,1639769230,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,86.5.242.57,1366,,1,3,1,2,1,0,0,0,0,0,,,,1,,2,,1,3,2,3,1,2,1,13,2,,1,1,2,1,2,,2,,1,2,1,1,0,0,0,0,0,0,0,0,0,,,,1,2,2,5,1,3,5,3,4,2,3,3,4,1,1,5,1,2,79,79,36,75,69,0,38,1,4,5,,1,,188,188,good,6,CBC3_1618573147_0,"2,1",95,89,30,19,19,,,36,,15,,55,15,34,91,20,97,17,32,22,16,25,24,36,18,17,10,12,11,,,61,12,16,15,13,13,6,5,7,45,9,15,147,9,439,39
7,17 Dec 2021 - 20:37:20 CET,17 Dec 2021 - 20:40:47 CET,0h 3m 27s,0h 3m 25s,1639769840,1639770047,1,5,,Terminate,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",Mac OS X 10.15.7,Chrome 96.0.4664.93,143.159.255.183,1440,,1,2,2,,0,0,0,0,0,1,,2,,4,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,3,3,4,3,4,4,5,4,4,5,2,3,50,50,21,50,50,0,59,1,6,3,,4,,188,188,,,,"2,1",8,6,4,,7,2,,13,9,,,5,,,,,,,,,,,,,,,,,,,,41,12,5,5,15,7,9,9,6,6,3,6,5,3,23,4
8,17 Dec 2021 - 21:54:43 CET,17 Dec 2021 - 22:00:37 CET,0h 5m 54s,0h 5m 53s,1639774483,1639774837,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 11; SM-A217F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36",Android 11,Chrome 96.0.4664.104,2a02:c7f:ecf3:5200:3557:8157:ae41:3353,412,,1,2,2,,0,0,0,0,0,1,,,,1,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,3,3,5,5,5,5,3,4,4,5,5,3,3,2,2,2,59,35,37,63,84,0,68,1,3,2,,7,,188,188,None,,,"2,1",65,12,8,,7,,,10,,7,,7,,,,,,,,,,,,,,,,,,,,57,18,11,17,8,21,22,10,50,7,4,2,4,8,53,10
9,17 Dec 2021 - 22:45:24 CET,17 Dec 2021 - 22:51:35 CET,0h 6m 11s,0h 6m 9s,1639777524,1639777895,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 11; SM-A202F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",Android 11,Chrome 87.0.4280.141,82.28.148.179,360,,1,3,2,,0,0,0,0,0,1,,2,,4,7,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,4,2,2,47,51,55,50,53,1,59,1,8,7,,4,,134,188,,,,"2,1",13,19,8,,5,7,,28,4,,,13,,,,,,,,,,,,,,,,,,,,73,8,10,23,9,4,4,3,18,11,5,2,10,9,89,7
10,17 Dec 2021 - 22:47:46 CET,17 Dec 2021 - 23:05:51 CET,0h 18m 5s,0h 18m 3s,1639777666,1639778751,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,90.192.120.54,1536,,1,2,2,,0,0,0,0,0,1,,1,50,4,4,,,1,2,1,1,1,1,2,9,1,,4,5,4,4,1,,2,,3,3,3,1,0,0,1,0,0,1,0,0,0,,,,5,5,5,4,5,5,5,4,4,3,4,4,5,5,4,5,2,3,62,38,64,59,21,0,50,1,3,4,,1,,188,188,,10,CBC3_1618573147_0,"2,1",9,17,112,,117,8,22,11,12,,,7,22,72,106,9,89,123,15,14,31,10,14,9,21,26,16,20,17,,,36,10,7,15,17,6,13,11,5,6,3,4,4,7,15,4
11,17 Dec 2021 - 23:00:08 CET,17 Dec 2021 - 23:06:54 CET,0h 6m 46s,0h 6m 45s,1639778408,1639778814,1,5,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko)",,AppleWebKit 605.1.15,82.0.29.34,414,,1,3,2,,0,0,0,0,0,1,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,3,3,3,4,4,4,4,4,3,2,3,4,5,3,1,2,2,2,27,19,83,75,,1,48,2,6,2,,9,Homemaker,1,188,,,,"1,2",28,11,6,,13,4,,,,,,7,,,,,,,,,,,,,,,,,,20,9,92,13,7,20,15,9,18,43,8,11,3,9,10,37,36,4
12,17 Dec 2021 - 23:12:17 CET,17 Dec 2021 - 23:17:47 CET,0h 5m 30s,0h 5m 30s,1639779137,1639779467,1,5,,Terminate,1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:95.0) Gecko/20100101 Firefox/95.0,Windows 10.0,Firefox 95.0,2a00:23c7:d403:1800:90e7:6031:9512:110b,1366,,1,2,2,,0,0,0,0,0,1,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,4,4,3,3,4,3,3,2,2,2,3,3,2,2,5,2,3,37,7,44,67,68,0,34,2,3,2,,9,Disabled,188,188,,,,"1,2",22,3,2,,206,3,,,,,,4,,,,,,,,,,,,,,,,,,6,4,26,6,1,5,7,4,7,8,2,6,0,4,6,4,15,1
13,17 Dec 2021 - 23:37:11 CET,17 Dec 2021 - 23:44:13 CET,0h 7m 2s,0h 7m 0s,1639780631,1639781053,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,2a02:c7f:5815:c500:75c8:14aa:d05b:274a,1366,,1,2,2,,0,0,0,0,0,1,,1,15,4,5,,,1,1,2,3,1,1,2,7,3,,4,3,5,5,2,,4,,4,3,3,1,1,1,1,1,1,1,1,1,0,recreational divers/spearfishers,,,5,5,5,4,5,5,4,4,4,4,3,3,5,5,3,5,2,3,93,21,91,50,49,0,57,1,5,2,,2,,188,188,"rather depressing prospects with coral reefs , but an interesting topic and survey",13,CBC3_1618573147_0,"2,1",3,4,7,,7,5,7,9,7,,,4,4,8,19,2,12,11,15,13,13,7,8,6,14,11,13,17,45,,,34,7,5,6,6,6,8,4,5,5,3,5,4,4,19,31
14,17 Dec 2021 - 23:53:18 CET,17 Dec 2021 - 23:57:19 CET,0h 4m 1s,0h 4m 1s,1639781598,1639781839,1,5,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko)",,AppleWebKit 605.1.15,2a00:23c5:c38f:dd01:8d29:f1e8:ae3a:3683,375,,1,2,2,,0,0,0,0,0,1,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,3,1,1,3,1,2,3,4,4,1,1,3,5,3,4,4,2,2,50,9,40,73,,1,61,2,3,2,,7,,188,188,,,,"1,2",6,5,3,,7,4,,,,,,4,,,,,,,,,,,,,,,,,,11,6,52,8,4,12,9,6,7,7,21,4,3,11,5,10,38,4
15,17 Dec 2021 - 23:55:14 CET,18 Dec 2021 - 00:12:52 CET,0h 17m 38s,0h 17m 36s,1639781714,1639782772,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 11; SM-A515F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36",Android 11,Chrome 96.0.4664.104,2a00:23c7:8915:cc01:406e:2aff:f23a:4f06,412,,1,3,2,,0,0,0,0,0,1,,2,,3,2,,,1,1,1,1,1,1,1,13,2,,5,5,5,4,3,,1,,3,4,4,1,1,1,1,1,1,1,1,0,0,,,,3,4,5,5,5,4,5,5,4,3,4,4,3,2,4,6,1,2,100,82,74,100,50,0,47,1,4,4,,1,,188,188,Interesting topic,15,CBC3_1618573147_0,"2,1",55,12,17,,29,7,,54,11,,,38,25,43,45,5,119,38,17,51,22,27,20,17,32,19,33,26,19,,,96,48,9,13,34,10,12,23,8,7,4,7,3,4,34,18
