sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,Agreement,Q0,Q1,Q1a,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_5_other,firstQ4,Q4a1,firstQ3,firstQ3a,secondQ4,Q4a,Q5,CBC_Random1,CBC_Random3,CBC_Random4,CBC_Random5,CBC_Random6,CBC_Random2,WTP,Q12,Q12_8_other,Q13toQ16_r1,Q13toQ16_r2,Q13toQ16_r3,Q13toQ16_r4,Q17,Q17_4_other,Q18,Q18_5_other,Q991,Q992,Q993,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_9_other,secondQ3,secondQ3a,Q20toQ34_r1,Q20toQ34_r2,Q20toQ34_r3,Q20toQ34_r4,Q20toQ34_r5,Q20toQ34_r6,Q20toQ34_r7,Q20toQ34_r8,Q20toQ34_r9,Q20toQ34_r10,Q20toQ34_r11,Q20toQ34_r12,Q20toQ34_r13,Q20toQ34_r14,Q20toQ34_r15,Q37,Documentaries,Optimism,Q41_1,Q42_1,Q43_1,Q45_1,Q46_1,Prefernottosay_1,Q47,Q48,Q49,Q50,Q50_6_other,Q51,Q51_9_other,Q52,Q53,Comments,sys_CBCVersion_CBC,sys_CBCDesignID_CBC,sys_block_set_1,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17,sys_pagetime_18,sys_pagetime_19,sys_pagetime_20,sys_pagetime_21,sys_pagetime_22,sys_pagetime_23,sys_pagetime_24,sys_pagetime_25,sys_pagetime_26,sys_pagetime_27,sys_pagetime_28,sys_pagetime_29,sys_pagetime_30,sys_pagetime_31,sys_pagetime_32,sys_pagetime_33,sys_pagetime_34,sys_pagetime_35,sys_pagetime_36,sys_pagetime_37,sys_pagetime_38,sys_pagetime_39,sys_pagetime_40,sys_pagetime_41,sys_pagetime_42,sys_pagetime_43,sys_pagetime_44,sys_pagetime_45,sys_pagetime_46,sys_pagetime_47
1,17 Dec 2021 - 18:48:35 CET,17 Dec 2021 - 18:58:39 CET,0h 10m 4s,0h 10m 1s,1639763315,1639763919,1,5,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Mobile/15E148 Safari/604.1",,Safari 604.1,2600:387:9:5::b5,428,,1,1,1,1,0,0,1,0,0,0,,2,,,,,,1,1,2,1,1,2,2,10,2,,4,4,4,4,3,,2,,2,3,2,1,1,1,1,1,1,1,1,0,0,,3,3,2,2,2,2,2,2,3,4,5,2,2,2,2,2,2,6,2,2,50,50,60,95,50,0,63,1,6,5,,1,,189,189,"Interesting survey, thanks",1,CBC3_1618573147_0,"1,2",6,9,8,10,16,8,,,,,,6,20,23,7,27,40,13,10,8,6,19,12,21,17,11,14,33,25,15,10,39,21,7,10,17,6,16,26,11,4,3,5,4,4,22,18
2,17 Dec 2021 - 19:09:35 CET,17 Dec 2021 - 19:11:24 CET,0h 1m 49s,0h 1m 46s,1639764575,1639764684,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 11; SM-G981U Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/96.0.4664.104 Mobile Safari/537.36",Android 11,Chrome 96.0.4664.104,67.232.190.11,360,,1,3,2,,0,0,0,0,0,1,,,,1,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,4,3,2,4,3,3,4,2,2,3,4,3,4,2,2,48,88,84,40,,1,50,2,3,3,,1,,1,189,,,,"2,1",4,10,3,,2,,,4,,2,,1,,,,,,,,,,,,,,,,,,,,20,4,2,4,3,2,3,3,3,5,3,2,3,6,19,2
3,17 Dec 2021 - 19:10:42 CET,17 Dec 2021 - 19:14:47 CET,0h 4m 5s,0h 4m 4s,1639764642,1639764887,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 11; SM-A125U Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/94.0.4606.71 Mobile Safari/537.36",Android 11,Chrome 94.0.4606.71,2607:fb90:f122:1e44:0:37:c0c7:4901,384,,1,1,1,2,0,0,1,1,0,0,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,4,4,1,4,3,1,5,4,2,4,4,3,1,1,2,2,2,26,25,29,81,77,0,64,1,3,3,,7,,88,189,,,,"1,2",5,8,3,7,11,4,,,,,,5,,,,,,,,,,,,,,,,,,7,,75,8,5,3,8,5,6,6,5,6,3,3,3,7,52,4
4,17 Dec 2021 - 19:53:39 CET,17 Dec 2021 - 20:19:48 CET,0h 26m 9s,0h 26m 6s,1639767219,1639768788,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,98.77.74.177,1536,,1,1,2,,1,0,0,0,0,0,,1,30,,,,,1,3,3,2,3,3,2,6,8,"BASED IT ON WHAT I CAN AFFORD TO DONATE, SINCE I'M DISABLED AND ON SOCIAL SECURITY AND FOOD STAMPS.",4,4,4,5,4,YEARLY CONTRIBUTIONS AS LONG AS I CAN AFFORD IT.,2,,4,4,3,1,1,1,1,1,1,1,1,0,0,,4,6,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,7,2,3,100,31,75,50,0,0,67,2,2,4,,9,DISABLED; CAN'T WORK,189,189,,4,CBC3_1618573147_0,"1,2",48,14,47,,41,9,58,,,,,11,32,78,110,80,97,22,23,32,11,19,22,98,29,117,47,92,51,13,34,58,14,31,18,27,30,46,26,19,9,4,11,9,25,35,17
5,17 Dec 2021 - 21:29:34 CET,17 Dec 2021 - 22:04:37 CET,0h 35m 3s,0h 35m 0s,1639772974,1639775077,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,2603:9001:70a:b00:75e9:2a68:fa2:bb1b,1366,,1,1,1,1,1,0,1,0,0,0,,,,1,,2,,1,1,1,1,2,2,1,5,1,,5,5,5,5,1,,2,,4,4,4,1,1,1,1,1,1,1,1,0,0,,,,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,7,2,2,100,100,77,100,51,0,58,1,4,3,,4,,189,189,Fun survey,5,CBC3_1618573147_0,"2,1",10,11,4,23,20,,,9,,120,,9,21,10,29,7,17,19,11,12,11,9,14,11,15,21,20,86,1118,,,48,23,15,8,15,181,21,26,11,9,14,5,18,26,42,11
6,17 Dec 2021 - 21:47:50 CET,17 Dec 2021 - 21:51:04 CET,0h 3m 14s,0h 3m 13s,1639774070,1639774264,1,5,,Terminate,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15",Mac OS X 10.15.7,Safari 15.1,2603:900b:300:74d5:819a:b9dd:5241:e539,1199,,1,1,2,,0,0,0,0,0,1,,,,1,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,1,5,5,5,5,5,4,1,1,1,1,2,2,1,4,79,61,23,98,0,,2,5,2,,9,RETIRED,189,189,,,,"2,1",7,9,4,,6,,,5,,4,,4,,,,,,,,,,,,,,,,,,,,39,8,5,4,5,6,8,12,4,7,5,8,5,15,27,3
7,17 Dec 2021 - 22:18:23 CET,17 Dec 2021 - 22:28:05 CET,0h 9m 42s,0h 9m 42s,1639775903,1639776485,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,71.215.104.113,1366,,1,1,2,,0,1,0,0,0,0,,2,,3,3,,,1,2,1,2,1,2,1,4,5,,4,3,4,4,1,,2,,3,3,2,0,0,0,0,0,0,0,0,0,1,,,,4,3,3,4,4,5,4,4,4,3,4,3,3,3,4,5,2,3,52,60,65,81,70,0,67,1,3,4,,9,Retired,189,189,,7,CBC3_1618573147_0,"2,1",15,8,7,,12,7,,13,10,,,7,20,21,18,8,15,13,14,13,15,9,13,9,23,17,24,24,24,,,50,30,9,8,18,8,10,13,9,6,4,8,5,21,34,5
8,17 Dec 2021 - 22:33:38 CET,17 Dec 2021 - 22:39:45 CET,0h 6m 7s,0h 6m 3s,1639776818,1639777185,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 11; SM-T870) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.92 Safari/537.36",Android 11,Chrome 96.0.4664.92,135.134.212.191,1205,,1,2,1,2,1,0,1,0,0,0,,,,1,,2,,1,2,2,2,1,2,1,7,5,,5,5,5,5,2,,1,,4,4,4,1,0,0,0,0,0,0,0,0,0,,,,3,3,4,5,5,5,5,5,5,3,5,5,5,3,5,5,2,2,49,2,50,82,42,1,52,1,3,2,,1,,189,189,,8,CBC3_1618573147_0,"2,1",3,6,5,8,8,,,6,,4,,5,25,12,8,23,10,8,8,10,8,6,10,5,9,12,12,10,12,,,36,8,8,3,7,5,8,6,9,2,3,3,2,3,28,2
9,18 Dec 2021 - 00:05:08 CET,18 Dec 2021 - 00:10:14 CET,0h 5m 6s,0h 5m 3s,1639782308,1639782614,1,5,,Terminate,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15",Mac OS X 10.15.7,Safari 15.1,2603:800c:3901:e300:1111:c6a5:aceb:e737,1324,,1,1,1,2,0,1,1,1,0,0,,1,444,4,5,,,1,2,1,1,2,2,1,14,1,,5,5,5,5,2,,2,,4,4,4,1,1,1,1,1,1,1,1,0,0,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,1,1,97,98,98,98,98,0,31,1,5,5,,1,,189,189,,9,CBC3_1618573147_0,"2,1",209,6,4,4,7,31,3,7,2,,,6,59,2,10,1,7,5,5,5,4,3,8,3,7,2,3,7,11,,,28,5,5,4,3,3,3,3,4,5,3,7,0,4,12,2
10,18 Dec 2021 - 02:18:44 CET,18 Dec 2021 - 02:23:53 CET,0h 5m 9s,0h 5m 8s,1639790324,1639790633,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,75.26.216.248,1920,,1,1,2,,1,0,0,0,0,0,,2,,4,5,,,1,1,1,2,3,1,2,7,4,,4,3,3,4,1,,1,,3,3,2,1,0,0,0,0,0,0,1,0,0,,,,4,4,4,5,4,5,4,4,4,5,4,5,5,4,4,4,2,3,50,55,50,55,28,0,63,2,4,4,,1,,189,189,no but thank you,10,CBC3_1618573147_0,"2,1",4,6,3,,14,4,,6,7,,,6,3,6,12,2,12,9,6,6,4,4,11,16,16,10,6,12,10,,,36,7,5,5,6,2,3,5,6,5,3,4,3,3,18,6
11,18 Dec 2021 - 02:35:30 CET,18 Dec 2021 - 02:39:02 CET,0h 3m 32s,0h 3m 31s,1639791330,1639791542,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.57",Windows 10.0,Edg 96.0.1054.57,72.234.66.176,1920,,1,1,2,,1,0,0,0,0,0,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,1,1,4,2,3,4,5,3,3,1,5,5,1,1,5,2,2,23,27,65,60,50,0,64,2,3,4,,7,,189,189,,,,"1,2",7,6,4,,8,3,,,,,,5,,,,,,,,,,,,,,,,,,17,10,51,9,5,10,7,4,9,9,7,5,4,4,4,4,22,4
12,18 Dec 2021 - 04:01:27 CET,18 Dec 2021 - 04:18:17 CET,0h 16m 50s,0h 16m 48s,1639796487,1639797497,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 11; SM-A102U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36",Android 11,Chrome 96.0.4664.104,72.235.151.38,360,,1,1,1,6,0,0,1,1,1,0,Kayak,1,,,,,,1,2,2,2,2,1,2,7,2,,5,4,4,5,2,,2,,3,3,3,1,1,1,1,1,1,1,1,0,0,,4,5,5,5,5,5,5,5,4,3,3,5,4,4,4,5,4,5,1,3,71,42,64,40,16,0,60,2,3,3,,6,,189,189,"Enjoyable, relevant survey.",12,CBC3_1618573147_0,"1,2",8,11,6,10,21,10,8,,,,,9,37,57,38,45,31,50,11,43,22,20,37,28,34,20,22,25,31,15,15,64,13,10,16,23,23,11,25,9,7,3,14,22,7,68,37
13,18 Dec 2021 - 04:56:37 CET,18 Dec 2021 - 05:01:14 CET,0h 4m 37s,0h 4m 33s,1639799797,1639800074,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 9; SM-G950U Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/96.0.4664.104 Mobile Safari/537.36",Android 9,Chrome 96.0.4664.104,98.151.146.67,360,,1,1,1,1,1,0,1,0,0,0,,2,,4,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,4,5,5,4,3,5,4,4,4,5,4,4,5,2,2,38,40,61,68,8,0,66,2,5,4,,7,,189,189,,,,"2,1",17,8,4,13,6,3,,8,6,,,8,,,,,,,,,,,,,,,,,,,,44,43,6,6,8,6,7,7,5,5,8,7,11,12,26,16
14,18 Dec 2021 - 10:46:41 CET,18 Dec 2021 - 10:57:04 CET,0h 10m 23s,0h 10m 23s,1639820801,1639821424,1,5,,Terminate,1,Mozilla/5.0 (Android 5.1.1; Mobile; rv:68.0) Gecko/68.0 Firefox/68.0,Android 5.1.1,Firefox 68.0,104.34.148.163,360,,1,2,2,,0,1,0,0,0,0,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,4,3,1,3,2,2,3,3,3,3,3,3,3,3,3,7,1,2,100,100,91,91,100,0,53,1,4,5,,1,,189,189,,,,"1,2",13,23,13,,21,16,,,,,,170,,,,,,,,,,,,,,,,,,18,14,55,18,19,15,11,9,5,7,12,24,18,8,21,9,108,9
15,18 Dec 2021 - 12:45:33 CET,18 Dec 2021 - 12:50:35 CET,0h 5m 2s,0h 4m 58s,1639827933,1639828235,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,2601:703:4200:9b0:c860:2148:d59e:a2c4,1600,,1,3,2,,0,0,0,0,0,1,,1,100,4,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,5,4,4,4,5,4,2,4,5,4,2,3,5,2,2,50,27,50,70,10,0,61,2,3,3,,7,,189,189,,,,"2,1",14,7,5,,11,6,8,12,11,,,8,,,,,,,,,,,,,,,,,,,,60,13,9,11,8,10,12,18,9,6,5,5,6,13,41,4
16,18 Dec 2021 - 13:17:06 CET,18 Dec 2021 - 13:22:53 CET,0h 5m 47s,0h 5m 46s,1639829826,1639830173,1,5,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/96.0.4664.101 Mobile/15E148 Safari/604.1",,Mobile 15E148,2600:1702:1b80:a250:a8d3:d851:34d9:e23f,375,,1,3,2,,0,0,1,0,0,0,,2,,4,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,5,5,4,5,5,5,3,4,4,5,4,5,4,3,3,31,23,59,64,67,0,65,2,3,3,,2,,189,189,I apologize for not being more helpful in this survey.,,,"2,1",25,13,8,,11,5,,13,7,,,6,,,,,,,,,,,,,,,,,,,,66,6,12,10,20,19,11,14,9,8,3,7,6,11,33,48
17,18 Dec 2021 - 13:25:38 CET,18 Dec 2021 - 13:34:02 CET,0h 8m 24s,0h 8m 19s,1639830338,1639830842,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,73.105.39.236,1590,,1,1,1,4,0,0,1,0,0,0,,1,1500,,,,,1,1,1,2,2,2,1,15,1,,5,5,5,4,2,,2,,4,3,4,1,1,0,1,0,1,1,0,0,0,,3,4,4,5,5,4,4,5,4,5,5,3,3,3,5,2,4,7,1,1,57,7,73,71,98,0,64,1,6,4,,1,,189,189,,17,CBC3_1618573147_0,"1,2",14,14,6,11,27,6,7,,,,,8,16,8,13,1,25,20,19,17,8,9,20,8,13,15,11,11,15,10,7,51,10,9,8,14,7,11,13,4,6,4,4,4,3,22,4
18,18 Dec 2021 - 13:57:47 CET,18 Dec 2021 - 14:01:52 CET,0h 4m 5s,0h 4m 4s,1639832267,1639832512,1,5,,Terminate,1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:95.0) Gecko/20100101 Firefox/95.0,Windows 10.0,Firefox 95.0,23.123.104.51,1364,,1,3,2,,0,0,0,0,0,1,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,1,2,2,3,3,2,5,4,2,1,1,2,1,4,2,2,20,5,55,79,63,0,61,1,3,2,,1,,189,189,,,,"1,2",4,11,4,,5,4,,,,,,7,,,,,,,,,,,,,,,,,,11,7,41,22,7,10,8,8,17,16,7,9,3,4,3,4,33,3
19,18 Dec 2021 - 14:43:23 CET,18 Dec 2021 - 14:55:37 CET,0h 12m 14s,0h 12m 13s,1639835003,1639835737,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 11; SM-T867U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Safari/537.36",Android 11,Chrome 96.0.4664.104,2603:9001:5000:a60f:99d6:76f7:b551:c07d,800,,1,1,2,,1,0,0,0,0,0,,1,,4,5,,,1,1,2,2,3,3,2,5,5,,5,4,4,5,2,,3,,3,3,4,1,1,1,0,0,0,0,0,0,0,,,,5,5,5,5,5,5,3,3,3,4,3,4,5,3,5,6,2,2,69,24,40,55,0,0,67,1,2,3,,7,,189,189,,19,CBC3_1618573147_0,"2,1",12,8,8,,10,6,9,9,10,,,7,19,42,80,36,66,10,9,21,8,5,9,19,23,18,25,20,25,,,46,23,14,15,9,8,21,17,8,7,4,8,9,9,30,3
20,18 Dec 2021 - 15:40:08 CET,18 Dec 2021 - 15:43:24 CET,0h 3m 16s,0h 3m 15s,1639838408,1639838604,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.57",Windows 10.0,Edg 96.0.1054.57,2603:9000:c009:7100:2daa:fd9c:3222:99ad,1709,,1,3,2,,1,0,0,0,0,0,,2,,3,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,50,50,50,50,50,0,56,2,5,5,,1,,189,189,,,,"2,1",4,10,4,,15,2,,11,7,,,7,,,,,,,,,,,,,,,,,,,,43,10,5,9,8,3,3,1,8,5,3,5,2,4,28,2
21,18 Dec 2021 - 16:01:09 CET,18 Dec 2021 - 16:12:16 CET,0h 11m 7s,0h 11m 6s,1639839669,1639840336,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Windows 10.0,Chrome 96.0.4664.110,76.88.132.64,1918,,1,1,1,2,1,1,1,0,0,0,,2,,3,4,,,1,2,2,1,2,2,2,5,8,what i can afford,1,1,1,1,4,amount i can afford yearly,2,,3,2,2,0,0,0,0,0,0,1,0,0,0,,,,2,4,4,3,5,3,3,5,3,2,4,4,5,5,4,4,2,2,50,37,35,50,86,0,66,2,3,2,,7,,189,189,,21,CBC3_1618573147_0,"2,1",11,9,6,27,22,5,,15,10,,,9,18,28,65,4,6,19,8,10,6,8,29,21,17,36,25,24,16,,,64,12,16,9,12,10,17,10,9,6,3,7,3,10,33,2
22,18 Dec 2021 - 16:17:51 CET,18 Dec 2021 - 16:26:05 CET,0h 8m 14s,0h 8m 14s,1639840671,1639841165,1,5,,Terminate,1,"Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/96.0.4664.104 Mobile DuckDuckGo/5 Safari/537.36",Android 11,DuckDuckGo 5,35.141.2.118,360,,1,1,2,,0,0,0,0,0,1,,2,,3,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,3,5,5,5,5,5,2,2,5,1,1,1,2,2,4,50,0,50,87,0,57,2,2,2,,6,,189,189,,,,"2,1",42,19,5,,14,8,,42,9,,,14,,,,,,,,,,,,,,,,,,,,131,18,12,18,44,17,20,29,17,7,5,10,6,11,32,6
23,18 Dec 2021 - 16:31:47 CET,18 Dec 2021 - 16:38:04 CET,0h 6m 17s,0h 6m 14s,1639841507,1639841884,1,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.57",Windows 10.0,Edg 96.0.1054.57,67.233.61.245,1067,,1,3,2,,0,0,0,0,0,1,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,5,5,5,4,5,5,4,4,5,4,4,4,5,5,3,4,2,4,53,0,14,37,50,0,67,2,4,2,,9,retired,189,189,,,,"1,2",51,16,5,,12,8,,,,,,11,,,,,,,,,,,,,,,,,,22,10,80,14,7,13,30,13,13,26,13,8,3,9,6,15,34,6
